Q113959931	TZWAMJSOSOMPLI-JBGSNMCZSA-N
Q113961116	MPYXHGCHIXFINM-RUTSTFOVSA-N
Q113961117	NTNZDKQMAVVRKI-UHFFFAOYSA-N
Q113961118	MPRHCFKBTLVOQX-DWVNRHPHSA-N
Q113961121	IDPHQPFMXGIJHP-GKWCVUCFSA-N
Q113961123	HRCBICHEJIPZRT-ZBGHSBOOSA-N
Q113961124	YAWXQASCPGBUSW-ZUKFXPOVSA-N
Q113961126	UCBGJOSAVMKADE-XSLCDDRESA-N
Q113961127	MOJNAYLABXOGSJ-ZTZKXTLQSA-N
Q113961129	JLIOQNFUGAUGHJ-ZIHYZGTESA-N
Q113961131	DNRXFBURLSLQSW-JJMOXWFCSA-N
Q113961134	INVDDKDDMZUTJO-QEKYBHIKSA-N
Q113961135	RBLONIARBGLMQX-MNKPYCKDSA-N
Q113961138	ZTNVCFQDUOWGNJ-LTKCOYKYSA-N
Q113961140	MUVXTHRGYAQJKI-VLGSVYMCSA-N
Q113961141	HGVSSPXKYSCMSX-OBBFKFDXSA-N
Q113961142	DSCLLSSZGNDUEK-RQIQMFDJSA-N
Q113961144	GWKQPGOYCJXXBO-ZWXJPIIXSA-N
Q113961145	WALILJXJZOCRCD-LFKCOKBZSA-N
Q113961146	QLESDNGWICTNRJ-ONITYOGDSA-N
Q113961147	HDZVRBPBPCZCJG-XOSPZYHZSA-N
Q113961148	DVNCUYADCHDELL-IXMRLRNZSA-N
Q113961149	MZYZWZXTHYCVHQ-XNTKLVSTSA-N
Q113961150	GKMXVYVRGTXGGN-PMACEKPBSA-N
Q113961152	YXLPIHYAUVNQKP-KHUBYJRLSA-N
Q113961153	REJVIGQRBBRIJE-CUBBNAKDSA-N
Q113961157	YIKKMWSQVKJCOP-KVZGVLACSA-N
Q113961158	LOLJEILMPWPILA-RLXHZABYSA-N
Q113961159	CMVCTUZMEJVSMW-OUKQBFOZSA-N
Q113961163	MSUVUDCULKNUJL-CSOLLQHSSA-O
Q113961167	KHLNGYXLFWKFPI-LFRVIDCTSA-N
Q113961168	JVNFUDLQCWWEEB-WCVFXIOZSA-N
Q113961170	RDUAJIJVNHKTQC-MUKUJDNJSA-N
Q113961171	JXNPEDYJTDQORS-AVQMFFATSA-N
Q113961172	DATMLNMUDBJNRY-CMBSQNDCSA-N
Q113961173	XJETVGYWUXKOKV-QAVDAQPVSA-N
Q113961174	JWAPTBDWCHGPTG-JQQBZAOGSA-N
Q113961178	QLLURQHOGBWUII-OLEQJJKVSA-N
Q113961181	OLAVGDFGXOQGOK-QPNGIJSNSA-N
Q113961182	DQNYBGMMBVVUHL-SKIHBYFNSA-N
Q113961183	UCQKTDBPGAANCR-MQEOFRHESA-N
Q113961186	XBKUQPPYYPCIDU-KZLUXCBPSA-N
Q113961187	XBKUQPPYYPCIDU-SQNNBAKCSA-N
Q113961188	RLXRILUWBRCHLM-KENAMLQBSA-N
Q113961191	GSWGXTVVBBPHGF-ANSCJJEPSA-N
Q113961193	INVDDKDDMZUTJO-ZQMRJWCHSA-N
Q113961194	QRMQABQGUWKAKA-FFTCKYAFSA-N
Q113961195	ZWXRVTMFLFOBGU-ZTBYKPEASA-N
Q113961196	ZWXRVTMFLFOBGU-YJHPCONOSA-N
Q113961200	LWIIWULNZCFOCA-OAEUSZHOSA-N
Q113961202	RIBVJRIPUIBKFY-PMEOIFRYSA-N
Q113961203	SOBQKRZRYGOIMU-LWPITJBVSA-N
Q113961204	HLOKCEDYFAXGRQ-HCGBLKNVSA-N
Q113961205	CGZQBRAFJZQQFI-BSNCZUNCSA-N
Q113961206	HLOKCEDYFAXGRQ-XZGONSJGSA-N
Q113961207	IDXBOXWUWDDSSX-LIYULKRPSA-N
Q113961208	MBWYKQQOOVDDJT-TZNWGPDYSA-N
Q113961210	ULILMUUUHYDFOW-YCGGEOJYSA-N
Q113961212	UBHADOIVPSTTIO-SWEJCODVSA-N
Q113961213	RIVCEGQLJFEWTQ-AHLPKCDXSA-N
Q113961214	HRCBICHEJIPZRT-FUJFNEMESA-N
Q113961215	ZRPKUEWUJNRCRJ-UHFFFAOYSA-N
Q113961216	IWYIULWJLYZBLM-SJTLIEJCSA-N
Q113961217	FYCINJKGLLPJKB-XQRVVYSFSA-N
Q113961218	RZNWIVXRTBJLNF-UHFFFAOYSA-N
Q113961220	AXNJDXRYHHYANB-UHFFFAOYSA-N
Q113961221	GAAQHTDEQARKTH-IDTOCSATSA-N
Q113961223	QIJHXUVSEDYOIU-BKAVPCLVSA-N
Q113961224	FTLKEFYXCKSGQK-AHDCADSYSA-N
Q113961225	YCEAAUANOREYMN-FHFRGTEHSA-N
Q113961226	PEJPKACQOPLYIF-RGAFOGHESA-N
Q113961227	NNYPFOOHJLLINH-VVYHXBNCSA-N
Q113961229	KQEBTLYBLYIGCO-XCBZHXQCSA-N
Q113961230	YJWIMUXYXBHXDA-VQJSHJPSSA-N
Q113961231	SUAYTTMDPHDQIU-PEIMXNPHSA-N
Q113961232	ZUBSBIAWFMVGFM-HUESYALOSA-N
Q113961235	WMSDVPFHOFGIJT-PSXMRANNSA-N
Q113961237	SQDQUZAJRQWDMA-AOGVJQIJSA-N
Q113961239	AWTJQBOUKQEACS-MXEPGKFPSA-N
Q113961241	JLLQXJRQIKHTIK-ZFXZKECJSA-N
Q113961242	LVUDUEMKEAWDMA-KXQOOQHDSA-N
Q113961243	XOIOXNRWNRHGSK-YPZHICNLSA-N
Q113961244	RRIFVJOWSBHACL-JCGOJSMZSA-N
Q113961245	ASYKAEHSXYLWIS-PQQNNWGCSA-N
Q113961246	XDGUHRYGXQJSSM-IBZPFYEISA-N
Q113961247	NYDQUYLZZIXFSF-LGSBWPKCSA-N
Q113961248	SPFRLTWPPAORML-QPPIDDCLSA-N
Q113961249	QDCLIEMDHNMIGJ-NUZBEXIASA-N
Q113961250	HBYGQNJDLHFZEB-JZZOTRAMSA-N
Q113961251	OQKUDRFZPJFLJQ-KMUIXOOCSA-N
Q113961252	IVTVTYQKHJKCQY-HRORMRJYSA-N
Q113961253	LHGGQZKDSVSSLW-HIICRMLOSA-N
Q113961254	BHFCAALOWUOMKN-HHBJZYAKSA-N
Q113961255	YFSUXBREMFQRTA-RCTPIDLSSA-N
Q113961257	CEFUXGIRKDAEJG-KFMXSZNMSA-N
Q113961258	WGECLQCBWONQQW-YSYHLLSQSA-N
Q113961259	COLIQWCOEJJPFZ-BWYMLTONSA-N
Q113961260	AVTLCYBPLARSML-UZCYLKLJSA-N
Q113961261	ADDMBQHEJRQEPO-KHTHNNQUSA-N
Q113961262	XSDZXQPLCUUMHQ-VOLJVZMBSA-N
Q113961263	YACQWROQNKVBSO-CIQRIDSUSA-N
Q113961265	MZNKMPMMJCRJCG-SMLMYJFZSA-N
Q113961266	XHVVLSLXKHPZQL-MRJKLAQCSA-N
Q113961267	KBUOEZHRSPCXIL-VZKDPMNGSA-N
Q113961268	JJABVFOQBZMQSC-XQBWDLCHSA-N
Q113961269	KGMWBODWUGOVSS-RHWGPBQISA-N
Q113961270	SBLITVDRDKTCHK-CZSQYBHKSA-N
Q113961271	UFDUZBRFAVZETN-XZZXZTSCSA-N
Q113961273	ZMVICCPXQQIKAC-TWKUQIQBSA-N
Q113961275	FPDCEMNSCAWZKL-UINPBPCTSA-N
Q113961276	CVSGTFIHUMEUGC-RTAWKXLLSA-N
Q113961277	QNHHLTXPRGDZNK-RURIDLPASA-N
Q113961278	DBLPPIIJISOOQU-NDAABQKUSA-N
Q113961279	ONSVAFNPEAEPSP-CPUBONDHSA-N
Q113961280	LNQQNAVBPIEUPX-SDOLKURPSA-N
Q113961281	KBNIXBSMLHDPTH-OWOJBTEDSA-N
Q113961283	TZKVTMLIRBTNQC-RLQIKEIOSA-N
Q113961285	HRTBOPUWPUXROO-VCZQVZGSSA-N
Q113961286	KHRMBDFLKOJUOF-UHFFFAOYSA-N
Q113961287	HPMCYOSTTZQBAP-ZRWXNEIDSA-N
Q113961289	FOBIQODNODEPKT-KUBAVDMBSA-N
Q113961290	WJWAORNTZNRHBP-WILRFSIMSA-N
Q113961291	VRHOOVVYFPUEHK-BXGMEBJPSA-N
Q113961292	MSZQSWVREFSSOB-VNIHTYSBSA-N
Q113961293	CUIXDAUTEMBARD-POBUXQGNSA-N
Q113961294	WMOFTJILTZIKIH-DIPNUNPCSA-N
Q113961295	AZXQLWBKLPGTHN-MRSVQOSDSA-N
Q113961296	DYMZWWYXHYMWCS-YZHOZRAUSA-N
Q113961297	QVSPZSNXLLWRIJ-UFHOOPDGSA-N
Q113961298	HLVHJOGDHOONHN-AMNSAOOHSA-N
Q113961299	LXJWTEASQXHBGK-QZNUWAOFSA-N
Q113961300	QQTRJJVXVHBBMA-XPTAFCCZSA-N
Q113961301	GRSXRRSVYIUEOM-KNWKQHDPSA-N
Q113961302	ZBFQJFNKGOHDPH-ITQMVGCCSA-N
Q113961303	WESJSEAJVIMLTC-GRCBCSCHSA-N
Q113961304	XNQGQGIJBSPOJJ-QZEVRULJSA-N
Q113961305	OCUYZALBOBDGEK-PVPDQLFYSA-N
Q113961306	GJSBTTCVYUOSMQ-APMJBGCSSA-N
Q113961307	ZBWXKWPMDIVZBD-FPOWPXLSSA-N
Q113961308	RPCKGPXLQCPFSV-LLFSEEBSSA-N
Q113961309	DSHOXLIOZHUNCT-BJRNZPORSA-N
Q113961312	VYGBMMLRWMCCRC-NLEYBKGJSA-N
Q113961313	KWGUHMMDCNHUCY-RRHRGVEJSA-N
Q113961314	PCLCVQVWZUYFJS-GBPANANDSA-N
Q113961315	WCXHKEDFXCKXIS-OHZKKAMASA-N
Q113961316	IFUXMIFACJBCIO-ASRSURRLSA-N
Q113961317	YGXCGMXZNIDWDO-NKZBRUQTSA-N
Q113961318	RFSMIGDPCDAXPO-VQJSHJPSSA-N
Q113961319	FAJWNIXXCUMDAS-JWXPWAJASA-N
Q113961321	QUSCFWWZWSRSKE-VLTFTTTFSA-N
Q113961322	FZIHUMXJLKHMGU-CNOMRCKOSA-N
Q113961324	PLNGZLSWAMMUIM-WGADPHKPSA-N
Q113961325	DCDVQFUNHMSNRJ-OKJRXTCOSA-N
Q113961327	MXOPSUCJZLSXRJ-CMHZXUROSA-N
Q113961329	UCBGJOSAVMKADE-UUTNYMSKSA-N
Q113961330	HJZRCHUQQYFKIM-LVZFUZTISA-N
Q113961331	IIMQDXTUMBZCPT-RUZDIDTESA-N
Q113961332	BFOBXWUPPFTLDM-XMVBEEBVSA-N
Q113961333	IDPHQPFMXGIJHP-XNTKLVSTSA-N
Q113961334	HLOKCEDYFAXGRQ-KENAMLQBSA-N
Q113961335	SNPJCMSWLFPGRU-OZRWBECLSA-N
Q113961336	IFQRUHXGXJVRNV-VLOQQARSSA-N
Q113961337	SNNNEKANAIMPFW-DIWQUVKESA-N
Q113961339	YAWXQASCPGBUSW-NCRDXWSCSA-N
Q113961354	CWCYSIIDJAVQSK-ZCFIWIBFSA-N
Q113961608	CYJSOHOPVZDWOP-WPFKTIIXSA-N
Q113961609	DBTVWXCYDOGLIW-VPSZULFQSA-N
Q113961611	QKKLSOIKTYCSMC-ZKFJHPDGSA-N
Q113961612	XAFQBISUIKGUJZ-IRJIZISJSA-N
Q113961616	XZSOHMWSWMSLPQ-GPYRGFSRSA-N
Q113961617	ZNCSJRIRJLKPNR-UHFFFAOYSA-N
Q113976248	LNVKBOZTHZJQLM-UHFFFAOYSA-N
Q113976271	VGXYDZCCQDSGLZ-LHBVBJHNSA-N
Q113976715	UBCFHHRSHQCEOZ-UHFFFAOYSA-N
Q113976728	MTBJNAQFBNXUII-UHFFFAOYSA-N
Q113976770	KGKFVLLBAYIMCM-UHFFFAOYSA-N
Q113976897	JICTVEXLDFIFAX-UHFFFAOYSA-N
Q113976981	WMYFBCLMNPGYLT-UHFFFAOYSA-N
Q113977014	SDEMGAHEVRWAGR-UHFFFAOYSA-N
Q113977031	KEZLDSPIRVZOKZ-UHFFFAOYSA-N
Q113977045	ZHVDHQATSYKXHK-UHFFFAOYSA-N
Q113977046	WDUYBXKVCQBWDD-UHFFFAOYSA-N
Q113977062	WRNWMHRNAPWZSV-UHFFFAOYSA-N
Q113986837	NZBKIOJQXNGENQ-UHFFFAOYSA-N
Q113988607	LAXUVNVWTBEWKE-AATRIKPKSA-N
Q113988608	OWYTVUBFFJDDMX-OAWFJHOXSA-N
Q113988609	HJRVVCOWJQUKTM-ILPUFSCISA-N
Q113988610	DDSVLLSMEPEWHA-LYIPOKJSSA-N
Q113988611	LGVOWFDBBQAFOS-PMERELPUSA-N
Q113988612	CDELFBJJHZJURR-JDTLOSAXSA-N
Q113988613	RNQAOZAEVSUZIQ-USFIXLQGSA-N
Q113988614	STDXFMGAJMQOFF-GFCCVEGCSA-N
Q113988616	MIHNUBCEFJLAGN-LQBOHOEBSA-N
Q114043898	NVVPMZUGELHVMH-UHFFFAOYSA-N
Q114065165	XSXWOBXNYNULJG-UHFFFAOYSA-N
Q114065189	YENLEHMSMBFUTB-UHFFFAOYSA-N
Q114065206	DJQPEGRPSMOYLI-UHFFFAOYSA-N
Q114067253	UNGMXQVELCJRIH-UHFFFAOYSA-N
Q114067268	HIWODOJPZXUTRT-UHFFFAOYSA-N
Q114082707	QMRGNVUDLXOZPG-UHFFFAOYSA-N
Q114194917	RHCPKKNRWFXMAT-MLRMUEIKSA-N
Q114194922	RWCWDKDUSFBMHO-HHHXNRCGSA-N
Q114194923	LTXUEXPDKWPLQA-ZMGYLBOHSA-N
Q114194924	SMPIPCCPMRDWAX-AXAMJWTMSA-N
Q114194925	OOJGMLFHAQOYIL-FSALDASDSA-N
Q114194926	OBNDIDKDLXSSCB-PFONDFGASA-N
Q114194927	VXVWCUMIPQWFRF-NQJJCMTOSA-N
Q114194929	AHYSGMPLGXUBBV-UHFFFAOYSA-N
Q114194930	VMZIKKGYJROZNC-QGLGPCELSA-N
Q114194932	NFCMYYTVFCALRH-UHFFFAOYSA-N
Q114194933	MRWKWISFCDSNQN-QGZVFWFLSA-N
Q114194934	DMCZWEUMVOFXBT-ZDUSSCGKSA-N
Q114194935	HLBSMZODWAXZCR-UHFFFAOYSA-N
Q114194987	VRHOOVVYFPUEHK-NFVHWJBISA-N
Q114194988	KESUZKAIGAYGSL-WILRFSIMSA-N
Q114194989	DWCHACQTXPELKE-ALCCZGGFSA-N
Q114194991	VDBZSBZPSBQBTG-WAYWQWQTSA-N
Q114194994	QOSXDERODNPQLN-WAYHEFBISA-N
Q114194995	IWVKTDGDSGYDKO-SAYJRJQVSA-N
Q114194996	XSAUCFBUCBKVEB-GKEUTSOASA-N
Q114194997	FXRVCZMQPWSNSP-CRBVYYSFSA-N
Q114194999	VNKYYLLEXZGGSC-HMGNIOSLSA-N
Q114195000	QYACEKCEMGNMKV-IHKVMWANSA-N
Q114195005	GUCQPCABUFYIHQ-OJMNYGDPSA-N
Q114195006	VCWGWIAETRVTSS-VZUYHUTRSA-N
Q114195008	BCCQKLKAZZAWEE-GVPNCGNSSA-N
Q114195009	PLASKPLALCYPCS-ROKFLXAXSA-N
Q114195010	KTAMGIBKTBSGPU-MCBGMKGZSA-N
Q114195011	IMGMENFUBIMZDJ-RPBJOJELSA-N
Q114195012	WFGUFVINDDCAQY-SGWBBUBPSA-N
Q114195014	JCYSDSGFJMRSIU-HJKQVIPSSA-N
Q114195015	QQIYXJBHMDYXHH-NMUBDWGHSA-N
Q114195017	JEWRKKPNWHQSHQ-XBEBLRSGSA-N
Q114195019	HXGJWNNQYJNQDH-WTWBAFHPSA-N
Q114195020	WYVNRNLYBZBBMG-SNSLNVMNSA-N
Q114195021	YEPSZMQCJBYFFU-ASXRIEHBSA-N
Q114195022	LXOOXAZBAFTBOJ-HQGHLRICSA-N
Q114195023	ILTYKUKCNHUBEX-SUCXLRAGSA-N
Q114195026	HCZNSOQYNXMRAA-WWQHLBDBSA-N
Q114195027	KVDMFPJXXIBXIG-KWNHIAGJSA-N
Q114195028	LKWLLGLUFVWAKD-WYMMYDRQSA-N
Q114195030	SWGVBZMFWNYENT-SSCNEQKGSA-N
Q114195032	GMXQWLRTVQXKGZ-KTYLEUTMSA-N
Q114195034	VFYOEYMEMUQWTK-SIZKBEQBSA-N
Q114195035	HUYYUBMEVZULFJ-YPJAHOAKSA-N
Q114195036	LORHEOLZYKBWGG-USYZEHPZSA-N
Q114195038	RJBHVWOPVMCDCE-MGIDVFSBSA-N
Q114195039	LRBBGQHIVCMVRY-PQNGYSQDSA-N
Q114195041	VRLKAQVLDYFNRJ-AUJQYDMUSA-N
Q114195042	MUMLMELRPRIEEL-OBYUZFALSA-N
Q114195044	LXMOHGCMLJBKMJ-KSQUMOCVSA-N
Q114195046	XBKUQPPYYPCIDU-OQRKRIQQSA-N
Q114195047	RLXRILUWBRCHLM-RVAABITISA-N
Q114195048	BFVKEJCJLZOPHW-LHGQSEKRSA-N
Q114195050	BHWUKOCNOLCGLB-IEEZOGEBSA-N
Q114195052	KKLKCTIZIVVPOJ-WFKFFMJQSA-N
Q114195053	OFTOFFIDAKVJAY-OHMPDGSOSA-N
Q114195056	HWQNUCDGDUFCMI-RQBJIVHESA-N
Q114195057	ABMOBHDJIUJCNP-KUPMKIAMSA-N
Q114195058	SOBQKRZRYGOIMU-JTJBGNMOSA-N
Q114195059	IFTZQQRTNSLHOX-PLUPBGRKSA-N
Q114195060	HLOKCEDYFAXGRQ-ZIHDPIIESA-N
Q114195061	AGFIBXIWRJTBJA-GMUYPCOFSA-N
Q114195063	XBKUQPPYYPCIDU-DJLIFNMUSA-N
Q114195067	RAYFBAALDWZZOU-ZOIUTUCISA-N
Q114195068	CGZQBRAFJZQQFI-KHDCHMTPSA-N
Q114195070	RFEZENMTQWRBKP-OQXXJURASA-N
Q114195071	KSUMVDZATHWLCP-DVIVLZLKSA-N
Q114195073	IHHQFWLUVQSACE-RKVKURJASA-N
Q114195074	INEPDXXERDFHOG-JSAYNWJOSA-N
Q114195075	IHIHXNCZVACPKN-WOONZQPCSA-N
Q114195079	ZHHDWDXQYDFYKQ-QYQAGSNQSA-N
Q114195080	XKGBWHAITCMFLI-MWGCQCNTSA-N
Q114195081	AWTWWJICEHSIQB-APGUVPFOSA-N
Q114195084	QCXWVNLJUPSHQY-ZLGNLHBLSA-N
Q114195085	ATYAOFUCOSYTLI-QKTVEPRCSA-N
Q114195086	ZBGNLOGGVFPDKN-DZWVQNSRSA-N
Q114195088	DGHXIYUMNKIUPM-PPPPXIRXSA-N
Q114195089	UTSAPYVEKHUVDK-YUOYCBLWSA-N
Q114195090	RFDAIACWWDREDC-IFZPJRIXSA-N
Q114195094	OXGAGPAURVYCEQ-RTXLMFJXSA-N
Q114195095	GHIXQBCGXRQMDR-LKWCPCFXSA-N
Q114195096	HUQWBIATWQKFAF-MLRMMBSGSA-N
Q114195187	QYGFNWKZSLFKCA-SLQLHLDPSA-N
Q114195188	DCDVQFUNHMSNRJ-RPHOMXEVSA-N
Q114195191	BMQKFEYQTUWADQ-HEONHVRASA-N
Q114195192	BMQKFEYQTUWADQ-XDSMXIGPSA-N
Q114195196	JSEGYAMKCPURPF-LPTRFYTHSA-N
Q114195197	NNPTVHABBUVOGA-OUKQBFOZSA-N
Q114195199	DIOKUCNWNFHLAB-NRGWLUSISA-N
Q114195202	DVFQHHMFSOJTET-MNWAVBAGSA-N
