Q110168202	LIOXJPPHADEFJM-CSGAWJIWSA-N
Q110168390	XCAAHKTWYRWNTL-MCSHHISBSA-N
Q110168391	QFXZTMBMDJGLJW-LSSIXWDNSA-N
Q110168392	WKDDRNSBRWANNC-LPBDRPKESA-N
Q110168394	CBKUHGBCDSGBHV-NUXNZHGMSA-N
Q110168396	UNKITCNAONQJPZ-SKLQMCSJSA-N
Q110168397	NUXHSAAEUDFPJT-ONGXEEELSA-N
Q110168399	UXFPPZJZYMHBTF-YQHBSZIESA-N
Q110168400	HGDVFZDJXDLEKR-SFAJNDLDSA-N
Q110168401	UKIMSVPFEDFFBS-OAHLLOKOSA-N
Q110168402	BZOJTNLXPLGYIH-JOCHJYFZSA-N
Q110168403	KIBURFBDQVFUHO-HHTIWFJYSA-N
Q110168404	IAASOIULJHHJRF-OGLSAIDSSA-N
Q110168407	HMFDSIGNMYZFJO-ALVIEERSSA-N
Q110168409	RHFFQULQDSVSJZ-ARHGDUTDSA-N
Q110168410	CKPPQLWWWRCXHL-DPTHPHEISA-N
Q110168413	LZGNKLBILFFKJA-YXQCUUTOSA-N
Q110168414	QLFZZSKTJWDQOS-PCCBEZLYSA-N
Q110168417	YJVYRBYLEGAOMP-MRXNPFEDSA-N
Q110168421	LXPUVRRVVAJHRM-IQMFZBJNSA-N
Q110168423	NQADLTSQCBMZJF-PQAOLJOCSA-N
Q110168426	VERJQRRBSKVZER-IEBWSBKVSA-N
Q110168427	GOGTZFIXPWXNHH-SIKGKWMMSA-N
Q110168428	OMAGQTXDHXASNM-QJXMSSHLSA-N
Q110168429	XEYHQCXTFFDUGL-DTTOJEKGSA-N
Q110168430	QKVBZIOMBXJEAO-XFVJEIOMSA-N
Q110168432	SPXFRSPAXUABLG-HBUQRDLDSA-N
Q110168433	OOKYVFOLITUCQV-MHZLTWQESA-N
Q110168438	FAXPAFLPILYBNX-MGBGTMOVSA-N
Q110168439	PLIDBJRNYJKVGG-UHFFFAOYSA-N
Q110168440	RCXLTHIZMBFOFN-BKDNQFJXSA-N
Q110168441	OGKULKCQQIVNDI-RBCOLISLSA-N
Q110168442	STIOSXDIQODUAH-NVECWKKRSA-N
Q110168443	JPEXIAFNQPOCQB-DQYNUQQLSA-N
Q110168444	BWGADGZRBDOONA-KVPGNWIISA-N
Q110168446	LCXAZCVSKYUTII-CXFLASQRSA-N
Q110168447	XROYAYHTAHEXNB-YCTUVTCDSA-N
Q110168452	FJKXTYHCAANBDR-LZVHQSEYSA-N
Q110168454	DZMZYLHYVLHECU-WNBWTFGASA-N
Q110168456	VKEITMNFEJHFCX-CYBMUJFWSA-N
Q110168459	PNGIBNMUXNYIFZ-BDAKNGLRSA-N
Q110168460	PLLOEODSUMNSFG-VYCIQSKRSA-N
Q110168461	HFPVTZNYHFSJMC-RDOOFJRMSA-N
Q110168462	ZKEYYASKEXLLCC-ABYUPDDJSA-N
Q110168463	IMGKMHFYJMZGRX-UFUMCKKASA-N
Q110168464	FGNPPWFDUWSHQL-UPEPMZDMSA-N
Q110168465	YCXUCEXEMJPDRZ-AQMUIXANSA-N
Q110168467	ZILQDHDHXVYIDB-VIFPVBQESA-N
Q110168471	DQMXCXZEZVSOMG-DMFWUUKOSA-N
Q110168474	SRKDUNRNENAEJS-QJCXCHQMSA-N
Q110168475	ZPRKRBDMVCYLBR-XEANALEWSA-N
Q110168479	SWKSTCJDEZFJJE-OQMKEHIESA-N
Q110168483	JUHALZHBXHSBMH-LPHIXDDYSA-N
Q110168484	NEQZWEXWOFPKOT-ZFIAKDBVSA-N
Q110168487	QZILCMMQASUSFP-KZMPCSPVSA-N
Q110168489	SLWJHRCOUPNNFJ-HBBBHKLASA-N
Q110168491	ZFUPZDZSERSKNA-OBQMCUGOSA-N
Q110168493	MXWYBIVSOJBCAK-DZJQYVJYSA-N
Q110168496	RLNOIXQIRICASI-VZPUUZNXSA-N
Q110168497	KZFLZAJZRKYSKL-YDMISYQBSA-N
Q110168500	UDYMSQQWPPCJJI-PTQUBOABSA-N
Q110168501	JBUHSCUDVQFUJD-IPPPMHIGSA-N
Q110168502	WWMFRHLTGLCMDR-QSLBZYNZSA-N
Q110168505	NGHPKQFMKLMMHD-IBVHSBIOSA-N
Q110168506	JJBKBNZVPPRXII-KJKTYCSFSA-N
Q110168507	WLNBAYZLLFKUGH-QSDLVTITSA-N
Q110168511	KKGFMAANSDFYDF-QROBEVECSA-N
Q110168514	MGAKDLNEBWLFRK-ZGLDAHOFSA-N
Q110168518	UTPAWELXXKUSFE-PWOLUNKGSA-N
Q110168521	OEGGHLYZTCPVMW-YOXFSPIKSA-N
Q110168523	AAZNLXXTBVTBKQ-BZSNNMDCSA-N
Q110168526	IOEAOHLFINUPGX-SHNFYRASSA-N
Q110168528	HHCQRNABFNZPFW-ZEFPPCCWSA-N
Q110168529	LZXREDXOPNVYFH-JUCWOJMHSA-N
Q110168534	DDSYZRYNMPREDI-ZODGFYKSSA-N
Q110168536	PBKBHDLANIOIKK-KXMRHNKVSA-N
Q110168538	BOBKKUAIQVWZHJ-LOUJCGABSA-N
Q110168539	CIRUKWHIGGSERO-SSEXGKCCSA-N
Q110168541	FDNNUUDWWYILJQ-VHSSKADRSA-N
Q110168542	LAIYYPVVJOIREL-JWYZECRMSA-N
Q110168543	WAHOUCCFIHSJQV-NBTVYNQOSA-N
Q110168544	HWMRSJKGOYUXJF-FKACKCICSA-N
Q110168546	PTVABGVMGJFKGM-CWYBWDBXSA-N
Q110168548	YTPPVTGAFMNBMU-RSPOJEKHSA-N
Q110168549	WEFLJOVONZPAEL-PNTFMKQHSA-N
Q110168550	VPPYLHODJVARBC-MAAOCNLLSA-N
Q110168554	RSYBHADEANEJMV-SDZREMLESA-N
Q110168556	KAEUHBWCUQSEQR-DYVFJYSZSA-N
Q110168558	CCLDZVYWGHUMES-FMSQNYNMSA-N
Q110168559	GFMGOVRWOOAPMN-HSXGCCRNSA-N
Q110168560	YFSCOMBSRWTBMQ-GUDVDZBRSA-N
Q110168562	KDBXJRLNARFRRV-OFDBHDDTSA-N
Q110168563	YHPJNLPDNVMZNR-GAGCMDECSA-N
Q110168564	IIZSEOKGOHTBLK-URADCDNJSA-N
Q110168565	PGFVYIIJNFGCFU-UHFFFAOYSA-N
Q110168566	FFZDPXIWAMFENN-MGHFSUBISA-N
Q110168568	CQYCAQYQKRBNHY-WETGDCJDSA-N
Q110168569	PXLMNSODUBZTGS-URYCSHDVSA-N
Q110168572	LGVCGEBNSHQLLO-CQDKDKBSSA-N
Q110168574	PSHUZQHBLAPAMD-KFCOXGNHSA-N
Q110168575	HPWUXQWJZVSQOR-ZETCQYMHSA-N
Q110168576	CMDVUZVMWFSCET-LYWHDOLQSA-N
Q110168578	WAHVMDHYFIGECH-JUAIBCHFSA-N
Q110168601	NBZUTADSSFCRRV-JSXFGMRASA-N
Q110168602	DRWCHJCNYGSRJJ-QIBSMZLPSA-N
Q110168612	PLRPNMIDKFLMKO-IRCUZVAFSA-N
Q110168616	XHVDIEWSKYALRW-ZDXTWHTPSA-N
Q110168617	FMQZTNFBYSFQKT-UTHRFFRBSA-N
Q110168620	ZUEKQPJBVORAFH-YUNKPMOVSA-N
Q110168627	KZCDZOUEHCXSSP-AOXFRAORSA-N
Q110168630	NFZJAYYORNVZNI-PBAWWTFPSA-N
Q110168635	PHEKSAGWYUBZTP-GIIPVYGVSA-N
Q110168641	DWKQIHQQZYILDB-TVGXYYIHSA-N
Q110168648	CXVPYCSNJZJTRF-WPRPVWTQSA-N
Q110168649	CAIGEWOTKYYEDS-ZRPODQDASA-N
Q110168662	VWMRQVRLVIZTJQ-OAHLLOKOSA-N
Q110168663	GLIPEBQBWMVZJH-CPMPDNOVSA-N
Q110168665	ZISVHQQMROKAEL-FPYMMUKQSA-N
Q110168666	OYRYQNANNSGCDK-FKMJIWNBSA-N
Q110168667	ZTJOUHBWHRZEJJ-BSYUJLLRSA-N
Q110168668	LLMDGXDLAJFXGG-QPLCGJKRSA-N
Q110168670	KCYRWQKOIZHYNX-ARSHIWEASA-N
Q110168671	GYUZZLDDLNZFON-TYXOBLAXSA-N
Q110168672	JZBCFYFXBXJTKB-UCIVKPIZSA-N
Q110168674	PNQPXZZYBRYBJV-YXMPFFBPSA-N
Q110168675	HUAXMYCKJKYAPN-XTHFFBCUSA-N
Q110168677	ZUVWHCDEORKLCT-JUAIBCHFSA-N
Q110168681	MXZNZZJLGOWQFM-MNSPSGFLSA-N
Q110168682	FSKQADSFEYMILN-ASPIWXRWSA-N
Q110168683	SNIARLNYOYAXGS-YRGRVCCFSA-N
Q110168685	WPMGNXPRKGXGBO-QFLLDXAESA-N
Q110168686	HQGPKMSGXAUKHT-SCSAIBSYSA-N
Q110168689	LADJWZMBZBVBSB-DRTJHOASSA-N
Q110168691	CCRDXZGFEZQDRL-QHLKIINSSA-N
Q110168692	LZORNOZYYPWODR-HUGQBSPZSA-N
Q110168693	QPCYNIYZPDJCMB-XYZCENFISA-N
Q110168694	IFLVEWDKEALXIO-PHKMFKKMSA-N
Q110168695	LCCGEVUWWBLMGC-PYFURSOWSA-N
Q110168696	XJTTZELYOODEAA-CYBMUJFWSA-N
Q110168697	DYQKBALSPZQWQD-JFEXMXEESA-N
Q110168698	UOKFUNLRMUEGHY-HUEMPKRBSA-N
Q110168699	IMXKHFILKMPFGB-DIFJVPAQSA-N
Q110168710	XEVUOUYSDCDRMH-MHZLTWQESA-N
Q110168714	NZZSDJHUISSTSC-QIXKQXDESA-N
Q110168715	QJVZZPREOYBOFG-YQNCCXDOSA-N
Q110168719	RKILODOPILZBRZ-PTFUMTAGSA-N
Q110168720	KOMJHFZXRLRUMH-DHHRYIGJSA-N
Q110168722	KNFNZSMXPGQAER-HGAFAVBASA-N
Q110168723	PLXBYEZLPVFWDI-CWIKHAAGSA-N
Q110168725	XTZUCVXVWVTYDG-DZCOGEEISA-N
Q110168727	WFTIALXZVDZJDB-GYKFHTJVSA-N
Q110168729	IWVNQKVFEYTPSH-LVNLQJMCSA-N
Q110168730	PZLHSEIQCKXDHC-CMDGGOBGSA-N
Q110168731	OXRGPSLVPTUXTM-KHEUGVFDSA-N
Q110168732	KJQZKTFSANMFQJ-KDYKCUIDSA-N
Q110168733	OHNBYBTUSOVUMK-URLJEOCPSA-N
Q110168734	KOARRXOZPWLCJM-RBBIFSNSSA-N
Q110168735	OBUIQEYZGMZXPJ-RBBIFSNSSA-N
Q110168736	JXDJMMZRVGWZJB-MTZQHXFQSA-N
Q110168737	QBBYUEGIXAMUPX-SEYXRHQNSA-N
Q110168738	JTNFPFOGNKSLAE-SGZVDOIBSA-N
Q110168739	WGBJDUHSPBKMFK-JVVGCOJUSA-N
Q110168740	UWAJGPKPIKRBHZ-BULZFTFUSA-N
Q110168741	MYZPFWFUSVUBQI-LPDJLMOUSA-N
Q110168742	JFNOZOIQSSNDRN-UQOUMQKUSA-N
Q110168743	RXCDHVAYLRJHOW-JXAGNTGFSA-N
Q110168744	KCHKLBGNALUYAJ-SLMFMIGASA-N
Q110168745	PUHPUNCBWZEKHZ-GOYHBJCLSA-N
Q110168746	BBZNPMRJIHRUOP-REKREQLFSA-N
Q110168748	LQNQZSVFAICQKC-IALHIJDZSA-N
Q110168750	LRRXBONPQFMFIU-NZHXQMHPSA-N
Q110168752	GUUBJNZJQYYEGQ-SXUAXIQQSA-N
Q110168755	IHONJNBUCZLUOS-PPTJONKGSA-N
Q110168756	OJDBZOSAZHSDPV-VFEMWUCDSA-N
Q110168758	CWHSSBGVAAMVCC-BEBPQGMVSA-N
Q110168759	ZOAWPNFRCKMMNQ-LIHKVVSMSA-N
Q110168760	VDYRODQNFIGGDP-GGGLPQKFSA-N
Q110168761	ITVAXTXLGSKAIA-HZQFPLSGSA-N
Q110168763	VAQBFPWMGXKHCI-GGAQTUBPSA-N
Q110168772	HWUUCABYFFQZHH-WPTLFRNDSA-N
Q110168774	TVTZPUKLHDXORU-FDPUWSJRSA-N
Q110168777	SFFUOHPMNZBGBA-QDYOCNNMSA-N
Q110168778	HRWPMELFEHBAIH-YMTOWFKASA-N
Q110168780	MREYDAJIOFIMTM-GRHZFMAYSA-N
Q110168781	MREYDAJIOFIMTM-MEJNCNAVSA-N
Q110168782	CUYKZBWMGHLTKQ-XOPQWMTMSA-N
Q110168785	MYRFLPCACLVXHC-BZNWMUAVSA-N
Q110168787	KZOIYIPDPQANFM-SNVBAGLBSA-N
Q110168788	KCSQQVHGNIDEKS-UTCJRWHESA-N
Q110168790	VCYLDGFZBOWHOI-XZALHDRTSA-N
Q110168791	YOGYBVYVKDQUPM-SPVVEVPUSA-N
Q110168793	NLJQJJGYCFVOFQ-ZTEVPRNISA-N
Q110168794	TXVLBRMNUYNGCT-VDABOFBKSA-N
Q110168800	XBAKLQFUYLBTHQ-KZUDCZAMSA-N
Q110168801	YOAXHSPUOPMCPG-WUJWULDRSA-N
Q110168813	QJNGRMBNUUTRKF-PHFDLOSWSA-N
Q110168822	BYOMETGGPNQEIZ-BGRAMADLSA-N
Q110168838	SJSZMXQSCZCGFO-ZJRAWZSVSA-N
Q110168839	APHXQKPMYQJNNO-PPCDJTHLSA-N
Q110168841	XCEPHNBEHQJSSB-NOFPLYNWSA-N
Q110168842	RKSQYDBORLFRPF-VXEUTMNQSA-N
Q110168845	AJLATFUSRAYDMR-HRWQENBOSA-N
Q110168846	VTRLEAAMYYAHOD-CEZVDCKESA-N
Q110168847	BPJNOLJFUQBQGC-NNKNSVRNSA-N
Q110168848	OEHVIVCEBYGFLN-AGVPJKSLSA-N
Q110168851	SFJDSZNSKKHKOM-IHMXKHASSA-N
Q110168852	PEOKSNTZCTWYNK-UHFFFAOYSA-N
Q110168853	DWMZHBRAZSJRFR-YPALUUNWSA-N
Q110168854	XFENGRLEXFEMMP-XQOJDCRESA-N
Q110168855	WFSSGJUWBXEUCZ-ZXUGPSLRSA-N
Q110168856	ZLYLXECEHFPPDA-GNFVXSCISA-O
Q110168862	KRHBBIAEHFFEMF-PLBHUYDJSA-N
Q110168863	JYBPDZNTEAJICX-COBHXZBRSA-N
Q110168864	VVVUQZUDSPOQAQ-PEYQGHOASA-N
Q110168866	UTLZQVRRNRCCAZ-DXGHJHHWSA-N
Q110168868	SVBLJQAMQKXPFK-RTIBGYJGSA-N
Q110168869	GMLAMSMDQXLNOI-RGVJTZTDSA-N
Q110168870	DZVWGUSBMQWKQX-UHFFFAOYSA-O
Q110168871	RNFNEBCHHXUETQ-KSOAMXKZSA-N
Q110168873	HCSFEHTYSRHQQW-NVQXNPDNSA-N
Q110168875	MUWOPMUWBVOVID-XPKNVKJBSA-N
Q110168876	ZLFSNAGNVUVFPM-MZKRTTBSSA-N
Q110168877	CVGGVCHALSWETH-MZKRTTBSSA-N
Q110168880	QZGGIZIUEKEAAS-XRPLRUMHSA-N
Q110168881	RQKZPFQUSWEPOP-NFFNUYLUSA-N
Q110168882	OOIYWHWKLPEPEA-UFBUSALDSA-N
Q110168883	DPPGOCHFFSGODO-UIWMMILUSA-N
Q110168884	YDMZOYPZIGUJJL-KASRWXAJSA-N
Q110168885	IXKNJBBLNNUXPK-KASRWXAJSA-N
Q110168888	ALINNRQWWIQSNM-SNVBAGLBSA-N
Q110168889	GEWDLXCYSDFOOV-WOJBJXKFSA-N
Q110168890	SCJKEDSTONEJPI-OAHLLOKOSA-N
Q110168891	CPUBGSFPXHYHTG-AZUAARDMSA-N
Q110168892	UJTDASRXAPQCNE-QFUCXCTJSA-N
Q110168893	QQKWXUTUSXDYTC-HXUWFJFHSA-N
Q110168894	CTNBQIWYCDDZAM-BRSBDYLESA-N
Q110168895	RORCVIYTNLLWHF-FVDDJKPFSA-N
Q110168897	FQJOWFVLFPPXSU-DZGRUFNSSA-N
Q110168898	INUJBGLULOLOPI-NXUXXHQTSA-N
Q110168900	VWGCVXUECMOABY-NRFANRHFSA-N
Q110168905	VRMQEAKUIZSPBV-IGPDGKIMSA-N
Q110168910	KAKUZTRQMKJXIH-BRKNMKEHSA-N
Q110168913	WMFMYMFKTSBHJI-TYGHHOAHSA-N
Q110168914	LPFPRCWRCQGJHJ-ZRIGGFENSA-N
Q110168915	KQSQXKSUNVGZND-VEPIHAAWSA-N
Q110168916	WJHGYDMMCIISCQ-PKJISTBPSA-N
Q110168919	LYLFFZWTYHJLCZ-SQWLQELKSA-N
Q110168921	YJGBARQRQUFWTE-XLDHAGBESA-N
Q110168922	KLPNJQKYFZVGOK-CDFZFYIQSA-N
Q110168923	MOVAFFRTIYGUBZ-KLUCJIFESA-N
Q110168924	BFDNPPUGEPOHCK-WMTVMBERSA-O
Q110168925	HYNIADFDZGMLAA-ZVMVZCEHSA-O
Q110168926	TVAHPFBWVIRAPV-CQRDSGTRSA-N
Q110168928	HIODDSQIKRMOBZ-FBIMIBRVSA-N
Q110168931	UOUNAWWCBHCAFG-FTLITQJKSA-N
Q110168932	UOUNAWWCBHCAFG-CNUIFLNQSA-N
Q110168951	RQGPFFLZSAYWIA-ZDUSSCGKSA-N
Q110168965	NNQXUIIMQDRQFN-GFCCVEGCSA-N
Q110168988	RVEBMOYUBNIIPI-NOSUCVEKSA-N
Q110168989	KCSHJPKODMBFHJ-HRYJRHHDSA-N
Q110168993	WNCIWSMKRPFIJY-BTAJCFKJSA-N
Q110168995	QLDOXRUFJHMOHG-NSRFADATSA-N
Q110168996	YSKPBPMQZLMBEW-AVLMPADPSA-N
Q110168997	DZSJXBQAXBOADW-CIHCJJGYSA-N
Q110168999	FNVONONIUIBRLO-KSAWYIFTSA-N
Q110169001	SXZAPDMYMYDYSU-FJLWJIJPSA-N
Q110169002	QQIDBHAQAVAKCN-PMTCAQJMSA-N
Q110169003	QKBDCVSHWVPQHK-UGLXWSDTSA-N
Q110169004	KZCRJRZCYRNEPJ-WLHNGWTPSA-N
Q110169005	SQMILYRPJCVQSQ-YKQFLFOBSA-N
Q110169008	PDLUPKHINYHYDQ-UHFFFAOYSA-N
Q110169009	DOMMWCKLALMCJN-ZKOAOSJTSA-N
Q110169010	VZQGLNZUGOCMLG-UWVAXJGDSA-N
Q110169012	VJRZQXUFTPCXHG-MRVPVSSYSA-N
Q110169014	JUYMRCCNIQTZTJ-XLMPQJIHSA-N
Q110169015	MRFSXFDFRQYUDK-WTZIRUNOSA-N
Q110169016	CWPJDJNWWFRWOO-XVEIJSAGSA-N
Q110169017	RRZWYDOKLFXOKW-RSXJCHSYSA-N
Q110169018	PDBULEVCXYNHCU-DISVFDFCSA-N
Q110169019	PCYHKTYNXXYKTE-GVTUPKNOSA-N
Q110169020	VNZHPBFNWGBKAJ-HKMOYPRQSA-N
Q110169021	BJUUIWYKIPDGQD-XIJHTCFDSA-N
Q110169022	HDIMEWASAZBNPS-IGNBIPJVSA-N
Q110169024	MKEXFODWQOICAG-ABDORPRSSA-N
Q110169025	RWULGBXORXEOAE-UHFFFAOYSA-N
Q110169026	JHAKNMORCNPMJW-UHFFFAOYSA-N
Q110169027	RXFNSISPXHGTNX-UHFFFAOYSA-N
Q110169029	LKOXBLFWGBINOU-UHFFFAOYSA-N
Q110169030	KHDQJDYBVSSBAE-UHFFFAOYSA-N
Q110169033	YAQIROOPLDGZNT-NNUOSGDXSA-N
Q110169034	IPIYHZBPBMFYMX-UHFFFAOYSA-N
Q110169035	VOBVZEIIAWUAKN-WMCYKRLGSA-N
Q110169036	BYULKRDRRZRKRS-NVIUCXGOSA-N
Q110169037	HLBIEWGOVDRXPB-QDRIXOEJSA-N
Q110169038	WXKPSVKUCAJECJ-XFJCXSRGSA-N
Q110169039	FCZCEQVQJZAYKY-YPMLDQLKSA-N
Q110169040	QIUQPTAROQDZHE-UHFFFAOYSA-N
Q110169041	UULZSWLWBGEDTD-JCKKIIEESA-N
Q110169042	RZEHSPGUEBSSDY-NRJUULOFSA-N
Q110169043	WOOOVJXHIPCWAT-XBNZGPRQSA-N
Q110169045	OKHUBRQWOYKRML-LIRWIHCVSA-N
Q110169046	ZWDBFPLMJMONGO-GIICLEHTSA-N
Q110169047	KRWQHGRXPQWINO-QDSUYSSQSA-N
Q110169048	QPJBHADMAAWADW-AMTITVGDSA-N
Q110169051	XRLVMZVXPMYCSF-UENBGECISA-N
Q110169052	ZTTVEEHXVLTWGD-HZNUXTIASA-N
Q110169053	LIEQTEMWFJJLBG-FOIRMDBVSA-N
Q110169054	IAKFXRHGJSECQI-UHFFFAOYSA-N
Q110169055	YMNQPZJRJJQFBM-UHFFFAOYSA-N
Q110169056	PYSWWYGVLWQSNR-QWIUXTLFSA-N
Q110169057	WSSPQHFLVBEQBI-FXWBJDMXSA-N
Q110169058	UBTFNPBLJPNBAO-UHFFFAOYSA-N
Q110169059	VEUNAESIPFZBLD-UHFFFAOYSA-N
Q110169060	XJMPTWOBMLPYBC-PMACEKPBSA-N
Q110169063	LVEHBOBGUJZZBO-KDTLMUGASA-N
Q110169064	IKYCPBMCYHEJCL-INEDZJTNSA-N
Q110169067	OKCYPYJULKLPHB-QERJFSEASA-N
Q110169068	BUQUMGFIRYFYPT-KIVHPJHFSA-N
Q110169071	YHKNJVBTWBBGKF-UHFFFAOYSA-N
Q110169073	PTWNGCBLTBSIKQ-UHFFFAOYSA-N
Q110169074	BUONZUXMJXFOAG-FNDYOVKTSA-N
Q110169075	NTVABXIXFOBNOR-GQEHYRNESA-N
Q110169076	CXHYEHUINNQHBL-ONIAWMTNSA-N
Q110169077	QYDAKIJPWRKNRQ-XJLGCOPWSA-N
Q110169079	ZJSJLOLESZHLNG-SOFGYWHQSA-N
Q110169080	BKGWWBGUPZYSPX-KRXBUXKQSA-N
Q110169081	ZJNVDLOXGOANEL-UHFFFAOYSA-N
Q110169083	ZBGSWESTHKFXNU-UHFFFAOYSA-N
Q110169085	QDWLYIODVRIUPS-XTCLZLMSSA-N
Q110169086	LTNORBABNJPGOB-XTCLZLMSSA-N
Q110169088	MHXKMAAKEHGISP-GJKJGJOISA-N
Q110169089	KSEFFCLJWITCGP-ZMYBRWDISA-N
Q110169090	WCSOXZPHERGPAS-FVARLZJZSA-N
Q110169091	PPQRKKLHNNMQJV-GGLVFAGASA-N
Q110169092	KKLSQYHUVIECRV-GGLVFAGASA-N
Q110169094	OGMOBRCVARJBFB-JVEUGTBLSA-N
Q110169097	BUNCUEUGMFDOPM-MRXNPFEDSA-N
Q110169098	FKVPJRWKAHNMCU-NPYZUDPGSA-N
Q110169099	OOXAUJHQOAMJFY-PELKAZGASA-N
Q110169100	ZLDYUMOPQLDZRB-XAGHOVOHSA-N
Q110169101	PFAHGEMYIFOKEX-RDXNZHOWSA-N
Q110169102	ACKFGOVZOOTGSD-YOEHRIQHSA-N
Q110169103	MZACQKHHYNDICZ-YOEHRIQHSA-N
Q110169106	BOYWYIHUQXEPAM-YRLYFOBCSA-N
Q110169107	CUMAXBAGXFYJCK-OAHLLOKOSA-N
Q110169109	QVPXAHBJFIXFRE-XXCZIACGSA-N
Q110169111	XUOQQCGDNZKXRP-AEFFLSMTSA-N
Q110169119	WZCPWPCNJXKSRY-SVGQVSJJSA-N
Q110169124	JOVICQUEDPZUGK-ICLFGDILSA-N
Q110169125	JOVICQUEDPZUGK-KFBSQEHXSA-N
Q110169128	AYADPYCRFCANCO-OLOXDWRXSA-N
Q110169129	AYADPYCRFCANCO-YADOHIMWSA-N
Q110169131	ZAZUWPWZNFAFMS-UHFFFAOYSA-N
Q110169132	SRYRNAKEOZHFCU-UHFFFAOYSA-N
Q110169133	QIWXEBJTRZRLCG-XQJLSMJRSA-N
Q110169134	LZDLUFASMQAOOP-HQQWJEATSA-N
Q110169136	KITSBJVDRWCLEG-OURJAEHKSA-N
Q110169137	LCCLYJHYSYPDBN-HLMVIKOSSA-N
Q110169138	ODADWRJZAQLGLJ-WLBUNQKXSA-N
Q110169140	HUINDWCHMQCXGO-CEHLDOHFSA-N
Q110169141	JSRANPZRFXTLDF-OZWIMJHESA-N
Q110169142	RWFPDXLVEWLFGL-VZTVMPNDSA-N
Q110169144	AJCVVWOPACTCCN-WMZOPIPTSA-N
Q110169145	XUOVBZITANWHNL-AFAGGTBKSA-N
Q110169146	WTKMZVVKSUGYQD-HJOVNRNHSA-N
Q110169147	QSEGGJPZRWJIQU-QDGJQWLKSA-N
Q110169148	QDBUZKFTUGZVOE-MAUBJVOJSA-N
Q110169149	INOVHRMNMNODNU-WWBRZNGQSA-N
