Q120310972	NHOVCGWYDMSFMH-FMECKOKGSA-N
Q120311387	RTGRIHKOZXBHBM-HLNHDSNGSA-N
Q120311390	NAOIZFXQNWEONO-RLAFDCIISA-N
Q120311392	ADQMPOKGRIRADO-IVEPSMRTSA-N
Q120311395	LNPMRTGVHOWMKC-UGLGDMGDSA-N
Q120311400	GWCRSAIXBFXOBE-ZESVVUHVSA-N
Q120311404	YATZDOYJKVWNPD-KBTQSRGQSA-N
Q120311405	GWQMIBXIYWLPGU-WVILEFPPSA-N
Q120311408	GOBQPNJGTFGUMT-YETNQAKMSA-N
Q120311419	JQPQVILMHWZXLL-IQWYXLONSA-N
Q120311424	XVNLTOYURBTNMA-YWPUXERESA-N
Q120311427	DLQWHKKIBUCCLF-BSXVWLSVSA-N
Q120311429	UYTVSHDKXNRZEM-GCAHJWCJSA-N
Q120311431	RQKDNRGXFTUFON-SKKUEKDSSA-N
Q120311434	ABGCUVCNIIEEGW-WQQOROIJSA-N
Q120311439	MMFRMTMQGBLYKC-MIBJEXJCSA-N
Q120311445	ZQMSICPZODDIDN-LXGRKYAUSA-N
Q120311447	PUGMHJAVLIDYFL-QVEKJMDDSA-N
Q120311449	YGIWIMBMRVMGJW-IAMWQIMGSA-N
Q120311451	GKESBZVXAYAVHA-RJZKOBMTSA-N
Q120311452	KOJHCXVADRGTIR-BEFUGRHZSA-N
Q120311454	IXNHVVSTOZLGKO-ZQWUQZBSSA-N
Q120311456	HGPVHHJJKCHMPZ-RBNOWSNYSA-N
Q120311466	WYVNEQZXCZILRC-QRLGJTFZSA-N
Q120311468	RJPZVNPTKGRMAX-IGGACNQASA-N
Q120311470	YRKRZNKWEAMTII-MUUUVZOISA-N
Q120311472	KKWNOJYNFAMEKT-VMSLQIGHSA-N
Q120311476	KJVKJPDBXFMPBT-VYIYZPSNSA-N
Q120311481	FZXHLSYNTSDCNW-MVZJZFHOSA-N
Q120311483	BMLXYGBCPZFGRC-AMDXMHONSA-N
Q120311489	RETKWHIEDVYXCL-QQFWDXGKSA-N
Q120311491	PBNJWYJAQQPWNC-YCWBYMFLSA-N
Q120311496	UTXXKYMLBDGHPQ-LRNWPYLNSA-N
Q120311505	RHSJAPSZMCEBAY-UICYIPPFSA-N
Q120311507	OHBCMOWQMKGYMN-NHZJTUAKSA-N
Q120311509	BQHJUNAZLJLLPF-FYEORKCNSA-N
Q120311511	JXLYMIPTXXQFSW-ZIKXZADVSA-N
Q120311515	HMCBKSCPOOACOE-MQMIVTRASA-N
Q120311520	FSNPDTRIYWLGAA-LNIMATPBSA-N
Q120311522	XBZSOKMWVKPRTR-ZSULPWLMSA-N
Q120311530	IKFQLEAXPYINSK-MNOQGELXSA-N
Q120311532	WWTOSGSMLLKVQG-YJQOCALRSA-N
Q120311534	KEILJMQGPGMOPW-KLBWBNSRSA-N
Q120311536	PIDAOWWGZMPYIB-QKVMJMSWSA-N
Q120311540	CLRKKXIADVVHLH-SXPGKWTQSA-N
Q120311546	VXWFGYTWNIJSPE-SBKTUMGCSA-N
Q120311550	SBIMNCJKBKOTPB-UERDYBIYSA-N
Q120311553	MRBYXOSBBIQJDK-NFUUTZFXSA-N
Q120311555	LEILARIDJLBTQY-NAODUPFISA-N
Q120311560	RYMXRZZZRVKJGY-FFUKOTJESA-N
Q120311562	BUYINTFXWAUXIZ-SJBNQWNCSA-N
Q120311565	XXHHZMJSMQBPNG-IIYZHQPASA-N
Q120311567	HXMOBDSFPKUGLZ-MYZYGXEYSA-N
Q120311570	JDUWHYXMJHOKEC-WVAQXVMCSA-N
Q120311588	LEDVBHSKNOULNO-FFBGDOLBSA-N
Q120311594	QHEGSIPQODAZEL-IHYQUPFCSA-N
Q120311596	WATWQPIYNQFTJA-GTPDRRISSA-N
Q120311598	UPMGWWJUAOYGHS-KKVQZISCSA-N
Q120311600	VZBOIXWHYLKSNW-YPGCTOJNSA-N
Q120311604	QLEGMQMKRVDHPI-RPXBBEGNSA-N
Q120311607	VNZJRTVHOLBORX-KYEFCHRESA-N
Q120311612	QHUFFYNUKJAUQM-XIMTWWKXSA-N
Q120311627	VGQZRBNUTOLEIY-PPSDSHRZSA-N
Q120311629	QYNAEAMBFDNXFM-HNQUZMHESA-N
Q120311631	ZTGBFTGSUCKBJS-VGWQRAHFSA-N
Q120311634	CKXHFYOKMLTYAT-ILIZPTHMSA-N
Q120311637	FALKGJHUHZALLO-NTRJPBCHSA-N
Q120311642	VHSYKXXEXFBBGL-GGONITGYSA-N
Q120311644	AMCGLLAVHZDATP-NYKLJHNHSA-N
Q120311649	FXJOLNCGYADJHZ-XGKGARQESA-N
Q120311650	PIOZBVRMTQORLH-JIHFMEPHSA-N
Q120311657	FIWBOGJEPUEWGH-CCGHMXMISA-N
Q120311658	OEXRCXMBSGRBLG-AQGDJTQGSA-N
Q120311665	BRLMVJLLZBLTKL-UDWYMEBFSA-N
Q120311669	WHQCPNUEGBSIEC-YAHSEVICSA-N
Q120311671	PIIDYRYINNCRFL-MTWXUQMMSA-N
Q120311673	YGCQCXXNUIPYGI-XVAVWLDASA-N
Q120311679	JAIZWFGSWDTVAQ-HRMXZIFRSA-N
Q120311683	WKFTUZZTBSVXHE-GPNOQSIOSA-N
Q120311686	JQRJSWBOEZSABM-ZJRDSLLBSA-N
Q120311693	MCWHILSRYHBFQW-USOSNDGBSA-N
Q120311696	BUCSGDDIEGDCSE-HLEZLOOUSA-N
Q120311702	MKADWCGCMQNDLG-FJBFSXGVSA-N
Q120311707	NOGXUQOEUMYPEE-HDZLRNIASA-N
Q120311708	IKHLYORZACJXCR-CARWQWIDSA-N
Q120311712	GHHCEXBJBUVAMW-XMMSBNOZSA-N
Q120311714	SYUZKJGFHOPOGV-IPIKMSGESA-N
Q120311725	AQHBMALCCHUPOI-YORUMBFOSA-N
Q120311727	OXDWYMKHCSSMQF-MPYWDVCQSA-N
Q120311729	SSOMOUUDTMTVNR-PWVPTTDWSA-N
Q120311731	DDHXKJURDPWVAB-JJKCWGSRSA-N
Q120311750	NESUYNYYOUYWBP-AACWCRJTSA-N
Q120311754	DKSDNWZUXVDGLQ-UJOIJTRMSA-N
Q120311757	OEHRRHPXAAJINO-MHZYQGKVSA-N
Q120311759	ACVKZIZAJGORPB-DCLNZNATSA-N
Q120311760	TTXBGARQDYJXOE-IOLBBIBUSA-N
Q120311763	VCNOYDZSBUVUPH-BQLILCRZSA-N
Q120311765	GBXDORRYPKXLGB-WVILEFPPSA-N
Q120311767	UIBNWKRMQFBANY-HLEWSJEYSA-N
Q120311773	UWOHEJVGXRQSNC-RSCJZPNZSA-N
Q120311784	MOGHPMXDEOOZIF-UADPPXQOSA-N
Q120311788	IXXOYTKWWURMAZ-MSILKGAPSA-N
Q120311792	YYETXUYEKKVCBB-YWPUXERESA-N
Q120311796	LSLJJORLBAWHNX-NFUUTZFXSA-N
Q120311800	UPWPGWWJSJOFSU-YNOMKILISA-N
Q120311802	NMXJQPRPAWUORH-GHYJNOQJSA-N
Q120311818	XBNDLGWTEBBMSJ-WVILEFPPSA-N
Q120311822	RQMNTNPTIBKKRS-WDYPWAQJSA-N
Q120311826	LWLUVABTMYRAJN-HKROHRCGSA-N
Q120311829	WOLNDOPEWLEQPA-WZYYJWNZSA-N
Q120311832	BMWNASROSNPYRT-CGFVQZOOSA-N
Q120311839	SDOIPQSUVFAWAT-LMGAJUDXSA-N
Q120311848	WLEVDONOYHMNLE-CRCOQUFZSA-N
Q120311850	SPAXIRXYXHVBMK-NAODUPFISA-N
Q120311857	GLZDECUQFZYGEZ-KBRGEABDSA-N
Q120311862	QRINNLYJZFPYIW-MELGAKKZSA-N
Q120311868	WQQLYPAVFXXXSE-GQXGIJAMSA-N
Q120311870	MDVDAAWUKAAWSR-WVKSVTGJSA-N
Q120311871	LIQQOBTYQXSUDK-DZBISSLWSA-N
Q120311876	AXBNHEYTYCRIRV-KMLSDAMDSA-N
Q120311880	XAJPBAXWYDACRF-KVAIXNFWSA-N
Q120311888	NJQPBBDHRJQWHP-KUMHYYHTSA-N
Q120311890	APBXOTZWACLNOF-PIPVPDAXSA-N
Q120311894	GVUMSKFWXGGIPS-RJACLIPXSA-N
Q120311897	IZNHKJPOEYVSAW-GJEXPWDHSA-N
Q120311900	OZTBGZFIWWKWML-RZOPEFEBSA-N
Q120311904	AUYIIERELKYRPN-BSXVWLSVSA-N
Q120311906	YBFGHEHGROAZAE-QQFWDXGKSA-N
Q120311910	USJNPOLXUPYEBC-LCHSTSLESA-N
Q120311912	MRAUSOLMJZDQFM-FNADPJNLSA-N
Q120311913	KQYWFUKAXNMDMZ-BTJSAWQDSA-N
Q120311916	WGHZASDSFRLBHJ-HYNBYXBDSA-N
Q120311919	VGTGARSFVQZAQD-MYRVPEGRSA-N
Q120311921	BKNOOZZIRDYALV-LXWGLDRUSA-N
Q120311925	VJIDRCQUYVLMKD-RPSRHSCVSA-N
Q120311934	XNHZKIWCQQQXFW-PILIGMBSSA-N
Q120311936	FFBVDPVUHGAXJY-OAXDXBKMSA-N
Q120311938	CCTPNOPIADTKSN-SIFNWRCISA-N
Q120311949	MZEGQPKZEVRQPI-UYLZLZFZSA-N
Q120311954	QYSDDNGNDWINBR-SXPGKWTQSA-N
Q120311958	AWJZCJJLBKDIJE-MBZMYTLASA-N
Q120311959	DQXLLMMLIFTATL-HCGXJRGQSA-N
Q120311961	HVORXBODAXMTTK-BJOKVKRHSA-N
Q120311963	WXAUKEITHRQHEZ-HFNDICQKSA-N
Q120311968	KDHAVYAAMFYQNX-GCAHJWCJSA-N
Q120311974	FTIVPPLXBZECHX-XQFNNNDESA-N
Q120311976	GCUWLPKMTAECGB-HVVBRKFQSA-N
Q120311983	OVLAXUFEKOQBLA-AOOUNGSZSA-N
Q120311985	UNWPKMFHEFGFSL-BYDJNBSSSA-N
Q120311990	KYOOAKGVODNWCS-QMFGGIPMSA-N
Q120311991	QPPJOLVIFWQWFD-YVCAPNKVSA-N
Q120311997	SSEQHDFEWZRFGQ-ILAGRHQVSA-N
Q120311999	VXKVBLSEOLNLBQ-DKAMBCLFSA-N
Q120312010	ZBGISDAWTGRREH-VVPFOULZSA-N
Q120312012	HCLCDAGXEKOJDN-WLQVKDSPSA-N
Q120312014	RZJDDYKTBXFISQ-MEBNFXOHSA-N
Q120312016	VCZBWNWBWZAMKC-KLYGJADHSA-N
Q120312018	ZZXJXFFVVKTCGM-XECQKVPMSA-N
Q120312021	RBHCPMMGFMHHJD-DIBPMLFESA-N
Q120312025	MZNZUHGJIKJCCN-DUQGECKRSA-N
Q120312028	FJRWROMQFSPSIH-GQWXTDLZSA-N
Q120312032	RWLOCVQIKSYXID-CWJQTHECSA-N
Q120312036	CVRVCBAAXDIKBP-UMUBWFLRSA-N
Q120312037	NQMDTJJDDWNEKX-LYQBQTGTSA-N
Q120312039	DVEBBHRIWHDRGW-QDGCJQSMSA-N
Q120312044	LPDULLXVKLZTKH-PIRQBZBUSA-N
Q120312046	HSAHORULDPXHHC-BPCHHQCNSA-N
Q120312052	GQYCBLIJJQEKHZ-ZUQVIBGYSA-N
Q120312057	RPFVZNKENQGCFM-YHZSSHCGSA-N
Q120312059	MSICKLGYQNIFKU-WKVPHKPGSA-N
Q120312061	CUBBBYWUUPFVQI-AFPSGVGQSA-N
Q120312065	JVIQZQAZYPLCNR-KVKANVDASA-N
Q120312067	XDURMKGSYHXJNA-WHPMWQHLSA-N
Q120312068	OVCAXQCKLCDLTM-DEMYAWBWSA-N
Q120312072	YNVRHJQTQGOZGP-DWRHGDHUSA-N
Q120312077	CAYNNAPUMJLPCS-JAHUGASZSA-N
Q120312079	GONJDVVGLOQYJD-CFWJWXGNSA-N
Q120312081	WBTXHASUWPXWJJ-MTCAVNOESA-N
Q120312083	DIIBXLYKUBSNCW-SBTDQPINSA-N
Q120312094	GGZPAXKBGCGBSD-VTAPOZJKSA-N
Q120312097	FQAGNBJSYCGJTJ-KKGNRJEUSA-N
Q120312107	KWSMYIGRXLMRKS-VMENMTOESA-N
Q120312114	YXDPOBBBWFMOCX-YNGVHRBASA-N
Q120312125	YMSLZHPPNVEEIY-CRCOQUFZSA-N
Q120312126	CDZRFGOYGKOVBU-WZYYJWNZSA-N
Q120312128	SDJHHOTUPDCUPU-ZESVVUHVSA-N
Q120312134	JLSXCZLXBSPMOU-PQQNNWGCSA-N
Q120312136	YDODBXWAZBDOGC-RYBWPNLSSA-N
Q120312138	HGNXHDXZPLMLSJ-WQRXQSQASA-N
Q120312143	FJCKPOQEWGIRIH-IRBQAAIDSA-N
Q120312145	OHNXAEIYQKANNT-QPMORLFYSA-N
Q120312149	WUSBQYYXDPHNQA-WJWPOJQHSA-N
Q120312156	ARBUBMSULZWAHS-QPPIDDCLSA-N
Q120312157	OLIZXERMUJCOCL-PQQNNWGCSA-N
Q120312159	AFAVZKYGXFCBLW-MPQUPPDSSA-N
Q120312161	QQAUZBJYZARSDB-ACEXITHZSA-N
Q120312164	ZQALHXMPRQEQHT-WVILEFPPSA-N
Q120312169	DTAKYBBKAGWHOP-PQQNNWGCSA-N
Q120312171	FBKGSVNNAGRXSN-MPQUPPDSSA-N
Q120312174	QKGLLZIQCSVVIS-OIDHKYIRSA-N
Q120312180	HHQOWXDSTYBIFL-HWEWTXTKSA-N
Q120312182	YDMMRUHKIIMRLH-MNQIWUGTSA-N
Q120312188	IYMLOOVXYFLNGW-JKYOYOLCSA-N
Q120312190	YYJWKMXIGOGAAU-FZJSTEQISA-N
Q120312193	ZBVHXVKEMAIWQQ-QPPIDDCLSA-N
Q120312198	BRJYLBKRWAAAEC-BHJRESQJSA-N
Q120312208	MVHBCRUZHMRQHX-UIWSMAGISA-N
Q120312211	MXWSMQMRZPPNRI-PQQNNWGCSA-N
Q120312213	NOFOTAHTYLXZNV-DCQLZOMZSA-N
Q120312217	COQWJWFHZUPHCO-QPPIDDCLSA-N
Q120312219	QMKBWBSGJUWDHU-QNZMSYMZSA-N
Q120312221	UMBWADWRQBQDRD-PQQNNWGCSA-N
Q120312226	XJCOWHHMMBKIKB-OIDHKYIRSA-N
Q120312229	MYVODODMUQABFT-COBUGYMBSA-N
Q120312233	RQMPJTUQVOWMHZ-BXNUJBFXSA-N
Q120312236	WPCHKWWBCAJJCD-BGYIAGHGSA-N
Q120312237	RHKLEUQCQMMTHF-QPPIDDCLSA-N
Q120312239	SIWACIGUFJHWIB-AXPQMUIUSA-N
Q120312241	RSCFPDKWNRETDJ-UVZRWLGFSA-N
Q120312243	BCWWDWIJORDPRN-OWCLLMORSA-N
Q120312246	XCTIWOKWRYGEOE-RMXHKZMYSA-N
Q120312251	FFWBVTHGHZROME-QPPIDDCLSA-N
Q120312254	ZMGBVRPIWCJICI-MPQUPPDSSA-N
Q120312255	CJVPKJNFWNXAJV-AJQTZOPKSA-N
Q120312267	HLUNRBJVJBCPOS-SZAHLOSFSA-N
Q120312269	JJJHMQOYSWPKDB-AJQTZOPKSA-N
Q120312276	PPNYWLBIVWLKFX-JJQWVWMESA-N
Q120312292	LZCSTAJDQULBAS-FTZNWAQRSA-N
Q120312295	XVPQVGVTNPMAEW-JJQWVWMESA-N
Q120312297	BWUBXTWUHNKXLR-NGJZXVFSSA-N
Q120312301	FPQWNUSDDZYJOS-ACEXITHZSA-N
Q120312302	AVUIDHSRABKCCN-WVILEFPPSA-N
Q120312309	XHUUPRHHMXDUAE-QVEKJMDDSA-N
Q120312311	BAGOYPVIIVGLBF-ZESVVUHVSA-N
Q120312314	PSYBVECDCRLWFY-SZAHLOSFSA-N
Q120312316	WIBSMIBUMXYXSW-XZWHSSHBSA-N
Q120312317	LULDSPIIVCQYOL-XZWHSSHBSA-N
Q120312321	LJBFIAYXROSUIG-KANQOGMWSA-N
Q120312323	MPTSWFXLMIATGU-BIECOUIGSA-N
Q120312325	RSSZRVIHQOPTEL-JCGOJSMZSA-N
Q120312332	SVTCSHZHAPWHDA-FHEXXAODSA-N
Q120312334	GNWIBIDKLVNWES-OQIMXIDESA-N
Q120312336	ZWWDUAOHPJKNOB-IHUVGRGJSA-N
Q120312340	YMVYHWYNADAKFB-SZAHLOSFSA-N
Q120312341	WUSAXHSSNVVKMT-OIDHKYIRSA-N
Q120312349	HWPCCXSEGIIOQB-ILKHLXMCSA-N
Q120312351	LIBLKFXXSFBDCF-RZTQZAHISA-N
Q120312353	LMFCAVYWUPLBDC-VOHGRDSWSA-N
Q120312355	MLHVSCPIOCBWEG-YLYHLXCMSA-N
Q120312357	VTOPUALYYFGRMV-RJZKOBMTSA-N
Q120312358	XJRJYPGTSZMAIK-TWOOBQCCSA-N
Q120312363	LSWVTASWXFIXRS-VHQGHFKLSA-N
Q120312372	WQBRACRDCLBINP-PQQNNWGCSA-N
Q120312374	JXSNUAWJVCVDCR-XLPMURTQSA-N
Q120312375	VKSBLBGVFCJTCP-QPPIDDCLSA-N
Q120312377	VKMWVFGQLUPAQC-JYMHUOGFSA-N
Q120312378	QJABVEFPWVGZDY-IOLBBIBUSA-N
Q120312380	XOAHWSWXQZNTOM-MMVRYLQTSA-N
Q120312381	KHCPTYBTXWCYAL-XEPQIOIISA-N
Q120312386	RKXTXPMZRMNMLU-INQGLLKJSA-N
Q120312388	HWYZNMFCCJVYIK-HMKVOMNISA-N
Q120312392	LQDXIQWWVZGJBR-VLNMDYFNSA-N
Q120312393	FBTZZQFZRLARGT-ACEXITHZSA-N
Q120312396	XWFZOFRGJIUZCJ-MUUUVZOISA-N
Q120312399	FELJKRWDNDURSP-QKVMJMSWSA-N
Q120312401	OAMSFHUURUXADA-DLURGJRASA-N
Q120312403	VXTCOWXCSQNRKM-JCGOJSMZSA-N
Q120312406	DIHFXJCHIQMDCM-RZOPEFEBSA-N
Q120312408	DARNPNYXSDQRRF-NQTRGSPBSA-N
Q120312409	XUXWKDONJPSPLN-NPAFHZFMSA-N
Q120312411	FJPRWZRNRZJULV-PQQNNWGCSA-N
Q120312414	UNSWRXICOCXHFE-ZESVVUHVSA-N
Q120312420	VUSRKVGIPZEPHV-HLEWSJEYSA-N
Q120312421	QZNWAAQPWTZTDE-ACEXITHZSA-N
Q120312423	PDRNTCLSNXESKM-MZTPGOTKSA-N
Q120312434	CMQOGXUGNVNDQN-VJSZKWLZSA-N
Q120312436	ZXBLLQIPRVISQW-XAYDRSHUSA-N
Q120312438	SFECMQWOFVWTKY-MKULVAFASA-N
Q120312440	BTFLBUBJSUJVRE-JCGOJSMZSA-N
Q120312442	ZOEFIQZUOBNODS-MSILKGAPSA-N
Q120312444	QKNAYSVTMGWXHC-YWPUXERESA-N
Q120312450	YSCSPSVIWKATQP-GULADZKMSA-N
Q120312451	PFJFQHWTELMJLJ-GPNOQSIOSA-N
Q120312457	ATJWZMCXFPKFNJ-HYNBYXBDSA-N
Q120312459	XDQMTXWOZCSUDV-HVVBRKFQSA-N
Q120312461	MBXHAPZJUQRVJY-XEAUEXCQSA-N
Q120312465	LEVMYIQXSPKFRM-YWKQESPKSA-N
Q120312475	IOAOWZOAVAJWNH-RZUOFOGFSA-N
Q120312477	AXQSCFYZNUWTSE-UVOIFRNGSA-N
Q120312489	PGNQKVXGUUIKQE-YWPUXERESA-N
Q120312490	CCBJWHSMFSXGFY-VHBBKETPSA-N
Q120312493	VBCKCBOEMZNCSJ-WVILEFPPSA-N
Q120312495	WOIRZYODRIWXSE-PDMOIVGFSA-N
Q120312496	ZADMKXCZGUSKEN-WZYYJWNZSA-N
Q120312500	VODQFHVPFFGTIS-KOXHLKJNSA-N
Q120312504	LYMKAXUAYAJLFF-PFVTWMDXSA-N
Q120312505	ZRWUZLVSNTVIHD-BNNUBUKUSA-N
Q120312507	YNXPCAAIVIXLOL-KWDRQGPDSA-N
Q120312511	IZXVKNYZZOZRQF-CZTMWHFZSA-N
Q120312513	SQWCOSHISYGGTQ-HJEHDMOGSA-N
Q120312516	CIQXNUVMZXADFV-IPHPUKPPSA-N
Q120312517	JEXSYFOOANIDJS-NUVXSZCSSA-N
Q120312519	HMNTVPZOWRQZKT-QZDQGYNTSA-N
Q120312522	ZENQHNUGSYIXQN-YOBHXDRXSA-N
Q120312528	CRBKJNRPUGKWES-AHQNGQGWSA-N
Q120312530	ZKPNIRGWJODCCM-BLYQLMFZSA-N
Q120312534	HQFIXTOVIDWKPO-ULOOIWAESA-N
Q120312535	CFTXFVQMCGNQOA-KOUDNHGOSA-N
Q120312546	ABOVPMQVKZLZMB-BNRCPQLSSA-N
Q120312552	SYDUQZPCBOVYKF-ZECGSBIISA-N
Q120312556	BYSMZGWQOHPOQW-KWDRQGPDSA-N
Q120312557	GMDJECWSGBJPKY-CZTMWHFZSA-N
Q120312561	VTCSQJNWPPLONG-VENGZZBJSA-N
Q120312564	FBCNVWSQCCEZSR-NUVXSZCSSA-N
Q120312565	OIBVJPAJJHNROI-PXTQWUIVSA-N
Q120312567	KZKFOQJVOABMOH-UDZAHPOESA-N
Q120312570	BSDAOJREDHDCJH-NNHSKLDRSA-N
Q120312572	PBKYAJVOQNBMRB-FCFFUPMSSA-N
Q120312573	DTDYQXMNJDUXLI-AGMLBBSNSA-N
Q120312580	HICRKSIGVUTFIZ-OWVBIEIUSA-N
Q120312584	IAWZOROBYUYAGL-YYMQKYTLSA-N
Q120312587	CNANDEALNZICCM-FUNYBZMNSA-N
Q120312590	CNNMQLSCRBWOIB-FXSWDENOSA-N
Q120312598	LTVMDBWQSREEPD-UXOKLVBLSA-N
Q120312601	HIMPSALVGQOISE-VNWREHHXSA-N
Q120312604	YBPKBVKAKKGUAR-NUVXSZCSSA-N
Q120312610	DPKVNWYKNHQQKQ-NNHSKLDRSA-N
Q120312616	AWIDXMVCJUQMHB-BNRCPQLSSA-N
Q120312617	XIAHBLHNMYMFFR-AXHVEHKYSA-N
Q120312619	GYCVZIMYSFKKCY-IJUBAKIKSA-N
Q120312620	ULVHPANURPYHKV-GFGQAVJGSA-N
Q120312629	NQHLLWXNXIWCRX-CALPDJFQSA-N
Q120312633	INMOCSKXUAFDOI-IDUMTGHFSA-N
Q120312639	FCHPRWOKRKDLIB-KTCAQHMQSA-N
Q120312653	QMQNELYYLPVINC-FJFKHDBWSA-N
Q120312655	MCQSALBYUPCTCS-JKHRYGLTSA-N
Q120312660	SKGXTCHFGKUWFB-UMSACAPBSA-N
Q120312664	UQMCPGQOSDGYQM-CCLPEKEOSA-N
Q120312666	UMJCOGCIZCTHJM-SIVQSFSRSA-N
Q120312668	LDLBYIJBBUCSIH-XOLIUOILSA-N
Q120312675	IACXMECMZISNLR-DLBZAZTESA-N
