Q114196025	BHWUKOCNOLCGLB-ZRMZGJFNSA-N
Q114808183	BOLRFGHAQSWKGO-QYNIQEEDSA-N
Q114808184	VSXIOTKSXGXRCF-IMFNMLJDSA-N
Q114811173	UEASZQUTJQWRPJ-BVBHFADKSA-N
Q114811179	DVQHYTBCTGYNNN-UHFFFAOYSA-N
Q114811180	RQFQJYYMBWVMQG-IXDPLRRUSA-N
Q114811181	CZOSTDZGCCEZTJ-WMHOIYFHSA-N
Q114811184	GDYLRVIXMBOTBH-KYDGOOQPSA-N
Q114811185	UWDBSOIOMHWFCT-LKSOPCKZSA-N
Q114811186	CTMZLDSMFCVUNX-VMIOUTBZSA-N
Q114811188	IRVFDNHCWBHSMD-OEKIESILSA-N
Q114811190	ODBLHEXUDAPZAU-OKKQSCSOSA-N
Q114811193	BBBFJLBPOGFECG-VJVYQDLKSA-N
Q114811200	QXJKBPAVAHBARF-BETUJISGSA-N
Q114811201	WOPZMFQRCBYPJU-NTXHZHDSSA-N
Q114811205	PJVLTQOLISOGIB-UHFFFAOYSA-N
Q114811218	LXIKEPCNDFVJKC-QXMHVHEDSA-N
Q114819695	OMUOMODZGKSORV-UVTDQMKNSA-N
Q114819699	KIGCABNRICVESE-UHFFFAOYSA-N
Q114819707	VRLIPUYDFBXWCH-UHFFFAOYSA-N
Q114819708	GQONLASZRVFGHI-UHFFFAOYSA-M
Q114826015	ZEVOCXOZYFLVKN-SYHAXYEDSA-N
Q114826028	IGRMNVDFXYJEQD-CUNODCQDSA-N
Q114826029	JANPXJFDLJYLSG-PVXJQKMTSA-N
Q114826062	NVNLLIYOARQCIX-NIMBGDMISA-N
Q114826063	WXNQRDORCOIMDY-NNWZRRJQSA-N
Q114826065	OUORBRQUCJQZSF-GKNCZCFWSA-N
Q114826067	IYXZIOHPRWAHRB-GDDMVZOWSA-N
Q114826069	RPZUOMJLRCWXNZ-TURQNECASA-N
Q114826081	HAQNRVCIKJWBOB-SQUSEMAESA-N
Q114826089	QDHMSPNLUKTSSN-KPRKPIBOSA-N
Q114826091	NNBMRGPSPZLYDL-SWTKMSQOSA-N
Q114826094	XJLMEOWSPZKEEC-OHIZJWKZSA-N
Q114826096	BWSJXFVAYYBEGM-WGWHJZDNSA-N
Q114826098	XJYREXYMJAFEHE-UQTMIEBXSA-N
Q114826100	DQADPFFRYUDNIR-CUOBBGSDSA-N
Q114826101	GAAZSRQXPPVJBX-FZGWKMQUSA-N
Q114826105	GCEPTOROJSDCPL-UFDFQPGXSA-N
Q114826106	RJCKAPFLVMTBQJ-LNUQUYENSA-N
Q114826107	IQOARLNSJQPGMX-ANUWLIMPSA-N
Q114826108	ZAZFGCGXLBDWIZ-WGBRFUNMSA-N
Q114826120	FYIPKJHNWFVEIR-FXQWNPMTSA-N
Q114826122	HSMVPDGQOIQYSR-KGENOOAVSA-N
Q114826145	IKLBPEYVGWFRLB-GDDMVZOWSA-N
Q114826146	JQSHBVHOMNKWFT-DTORHVGOSA-N
Q114829537	ZBRQSBGQEWKGJC-OYQIKJLFSA-N
Q114829541	ZBRQSBGQEWKGJC-PNRHKHKDSA-N
Q114829543	ZBRQSBGQEWKGJC-OYQIKJLFSA-N
Q114829545	ZBRQSBGQEWKGJC-PNRHKHKDSA-N
Q114829547	BNQAKMBVXYXXED-FZDLOJSVSA-N
Q114829560	GSWJGTWAMCUZLC-LYEHBICDSA-N
Q114829563	ICGPUNGYEQBPKT-OAVFGZILSA-N
Q114829571	KUEBNIWWHJDUIA-XJYQFEJESA-N
Q114829573	WFORLGSSYZOSMQ-HVXFEVEMSA-N
Q114829593	JAMFMQAPZKXSKC-JLGYDLMFSA-N
Q114829599	SPZBBERMIORPHS-WSPRHHJNSA-N
Q114830931	DPINEQHXIGGMGK-ZSSPDXEMSA-N
Q114830932	QUSYCGNKRPSLGM-SSTSQUPRSA-N
Q114830934	UYLBZZOCHBVQEC-JZHPBSJXSA-N
Q114830935	JQSJPRMRKRGXEJ-BFRJETTRSA-N
Q114830936	JAEJLIJYAKFZFG-YZSAPEPWSA-N
Q114830938	LNESMCNAVCENOY-VWQWRKPCSA-N
Q114830939	LMCSNKVRWFPNBK-RJINDJSTSA-N
Q114830940	IWCGIYWOOJAKFW-RDOYHACNSA-N
Q114830941	GHHPCXNTFSLEKS-NBZNUMONSA-N
Q114830942	JNWMSLBBCWLNKD-LVUHESDLSA-N
Q114830944	AGJNHWXQEDNTLB-UZROWNAUSA-N
Q114830948	NLXRDQDURDPQJS-OMVAVZHESA-N
Q114830949	DTVLDKUERDZHEY-CHHPSRDKSA-N
Q114830950	PAKGTMACELCLNY-RWZDZKQQSA-N
Q114830951	OFGPNJKKYRFFPP-SKJBWMQWSA-N
Q114830952	KDCIKDSBHWEIJJ-ODGANHKRSA-N
Q114830953	FAVHHBQJQSZSBU-MZQHRNGTSA-N
Q114830954	DBOIUUAZTAJZKQ-FHNNOFDASA-N
Q114830955	SPQAPMAVWBBSLB-NTLUYEGJSA-N
Q114830956	PNUYOAIQMPSVSF-FVITZMBHSA-N
Q114830957	NFHBZTOXWBZNFL-OVBGKJABSA-N
Q114830958	CQFCWTFGTVZYLJ-YHIYKHASSA-N
Q114830959	BJOUIQKXTWDKHE-HWURDKBHSA-N
Q114830960	WZVQWQTVGATIDP-AEAONTGWSA-N
Q114830961	SYFCNFVPUJTCLL-OTIHBAEMSA-N
Q114830962	OHCFXYRJFYDIDU-NDHIWMSKSA-N
Q114830963	CTDISUDSHUNLOZ-LTSXADRNSA-N
Q114830964	JKBOXTKVZYBYDR-AYXSMRJJSA-N
Q114830966	HDPRLFGUCIUTAV-FVVVJHBGSA-N
Q114830967	ZQRUHCIHYLDUGE-YAOUEKBHSA-N
Q114830969	ZPZHKIOMBYYVRD-WRDPQARASA-N
Q114830970	OQLOXFAEYPRXJG-DQCBHWIGSA-N
Q114830973	WTDYXGYWROEPQE-FQYNWTTGSA-N
Q114830974	MKDBJZSSZKCAQL-AKQVMVHGSA-N
Q114830975	FHFDDWFOTNDTNQ-LBKIHLNRSA-N
Q114830976	MIIRLHRXLLVIMF-WKHWYDSQSA-N
Q114830978	BEDOPNJARNLRIQ-ZGBBRUJZSA-N
Q114830982	HSJNBSAHUCOBKH-UEIFCIPMSA-N
Q114830983	YMKYMUZLFIVHJW-YPNFMPRKSA-N
Q114830987	LEQTYDKESKBWCL-JHTJNAPRSA-N
Q114830990	RAWTYNFVSUUZMF-IEBRUIAUSA-N
Q114830992	CYEOSPLHVLAZQZ-AUIUQCNTSA-N
Q114830993	CLQAESJQGIYFCS-HSJNEKGZSA-N
Q114830994	HVJAIHCXEXQHRF-UWVGGRQHSA-N
Q114830995	XUUWVCYHHXPIAQ-KIHGJWCTSA-N
Q114831059	ICWHQHNAQWNMTM-YFKPBYRVSA-N
Q114831060	CTFNBPCKMHCTPC-YFKPBYRVSA-N
Q114831062	SHZNCSVWZLZUED-QQCJEOGWSA-N
Q114831063	ZKUDWLWHTKEJGJ-OSKNXYPTSA-N
Q114831065	BBEVDJHGDCYXGP-CYFLVULTSA-N
Q114831066	UWMWRJXCNXYJIK-RLLUUTNNSA-N
Q114831069	QTSOBXZFMHJWGX-QRVIBNMSSA-N
Q114831139	GSYQGRODWXMUOO-GYBHJADLSA-N
Q114831142	WYOSPWKLASJWNK-ZKBOYPHFSA-N
Q114831143	ULLAKNQXSWLUMN-FTKWRMFLSA-N
Q114831144	NZVUSEKEHBAEGW-SIENBJNMSA-N
Q114831145	LFMQEKBURIICNU-CPBKZENESA-N
Q114831146	QGPJJAUEUOIOLB-QRPQZWDBSA-N
Q114831151	AMHUOFOJMSZUQN-NKRBUAGASA-N
Q114831152	NOBGWEFRUWQZLC-NWBBMDMJSA-N
Q114831156	JWFPABMOLXDVHA-SMUVQOJXSA-N
Q114831157	OQPBDGAWBQTHPM-YKPGFUNCSA-N
Q114831399	ONZQJJGFZRYDBF-QGODZPSXSA-N
Q114831400	JGMWIGKDFDNBLI-GQBJTHPJSA-N
Q114831402	NOJZNIVAYUWGAY-PNRHKHKDSA-N
Q114831404	TVXJTWZKUCFSCJ-PNRHKHKDSA-N
Q114831406	IEIRYMLRVZKPTD-PNRHKHKDSA-N
Q114831407	UVAZJSYHHVXMED-JVUXXULDSA-N
Q114851257	MASHJJSDLKLZLA-UHFFFAOYSA-N
Q114851258	GZLRAFFGSYXMES-UAISQINXSA-N
Q114851265	CNWINRVXAYPOMW-WJUYXORRSA-I
Q114851266	FSCYHDCTHRVSKN-UNOAJODNSA-K
Q114851929	DAHQTMWHOQRXRN-UHFFFAOYSA-N
Q114890579	MWKQPIROPJSFRI-UHFFFAOYSA-N
Q114905732	VAZJLPXFVQHDFB-UHFFFAOYSA-N
Q114917026	GEVWLWBRCPGHPV-BDFCOIRRSA-N
Q114917027	XUQWWIFROYJHCU-UKSDXMLSSA-N
Q114917029	ONUUOQCMEFWOSB-ASTGPZOCSA-N
Q114953533	XBIDABJJGYNJTK-VDUMFTQRSA-N
Q114953534	BGXMFFHYDXHJOZ-JVXGTMRJSA-N
Q114953589	BGXMFFHYDXHJOZ-RWWLUNCRSA-N
Q115060226	RXIUMAOXORBRCY-UHFFFAOYSA-N
Q115111098	MEIWPHMJWJAVIY-WWGKXEARSA-N
Q115111410	HNDPIXZRQWKEFZ-SECBINFHSA-N
Q115111596	MUGMCPSTRJVPIJ-UHFFFAOYSA-N
Q115162015	WPKVKNZNPQRHOD-UHFFFAOYSA-N
Q115189082	QQUFCXFFOZDXLA-MXXZJCMTSA-N
Q115212135	FGCDRPGTPUWSLE-UHFFFAOYSA-N
Q115285181	DWNWGHRHQSAJBT-UHFFFAOYSA-N
Q115302396	ZNKWRAKPQQZLNX-FFJARJNZSA-N
Q115409300	NWGNCXZRVUMBAL-UHFFFAOYSA-N
Q115487991	DTGKSKDOIYIVQL-AFAAIUEZNA-N
Q115555139	MLRLLZWQYJJPEX-UHFFFAOYSA-N
Q115577051	KOWMJRJXZMEZLD-SRLQQUAWSA-N
Q115577210	VVIVTDYOMWHKAE-UHFFFAOYSA-N
Q115577913	FLFAFGGBRUXYBD-UHFFFAOYSA-N
Q115577920	NWEWNVPCYZONHK-UHFFFAOYSA-N
Q115577928	URGPSLGDHKUXKS-UHFFFAOYSA-N
Q115595860	KHAUCCNSUMBFOT-OAQYLSRUSA-N
Q115620059	KRDXURLKZNAXAQ-UHFFFAOYSA-N
Q115620070	WFSRSWZWJNGARB-UHFFFAOYSA-M
Q115667752	JHIWIFRQJXLNEU-GSQAGGHASA-N
Q115667808	ADTMITDBGCYTKC-UHFFFAOYSA-N
Q115780584	QNVPDGCJKPQARD-UHFFFAOYSA-N
Q115783831	WQSDYZZEIBAPIN-SSLCBRODSA-N
Q115784353	DUPUAYOTOWVLFB-RBLKWDMZSA-N
Q115784354	SPNFYMLYGCXGEF-LFYCWKIZSA-N
Q115784427	RFGCQLNGVCZEAS-KEWYIRBNSA-N
Q115784503	FDSHYIREUMEWEX-MCHWZHJGSA-N
Q115784513	PLVPPLCLBIEYEA-WAYWQWQTSA-N
Q115784520	VAFNMNRKDDAKRM-LLVKDONJSA-N
Q115784557	CUTYINBLQKKDCO-APSOACPRSA-N
Q115784601	HVDGDHBAMCBBLR-PBHICJAKSA-N
Q115784658	OBKKEZLIABHSGY-NDBCEZAASA-N
Q115784667	RNDGJCZQVKFBPI-OPBLACEUSA-N
Q115784677	LPZIZDWZKIXVRZ-MOJAZDJTSA-N
Q115784681	GUBGYTABKSRVRQ-UUNJERMWSA-N
Q115784689	UQZIYBXSHAGNOE-USOSMYMVSA-N
Q115784692	FLUADVWHMHPUCG-OVEXVZGPSA-N
Q115784758	OALYTRUKMRCXNH-MRVPVSSYSA-N
Q115784759	PHXATPHONSXBIL-SNVBAGLBSA-N
Q115784800	IVOMOUWHDPKRLL-PERBPWGJSA-N
Q115784801	VWWQXMAJTJZDQX-FTFPNYDNSA-N
Q115784812	RYMNVEAAYOFGCI-GLJUWKHASA-N
Q115784868	QOPSZFXPZWQLOG-DCKIAYDVSA-N
Q115784907	QSIMLPCPCXVYDD-QMMMGPOBSA-N
Q115784928	PJAAESPGJOSQGZ-OBCWZRDOSA-N
Q115784934	NVCUAFIUMZCPGV-KZMKVQJGSA-N
Q115784937	HULMNSIAKWANQO-XVPQHPLOSA-N
Q115784938	CTNPHHZPAJYPFO-RODZRPJJSA-N
Q115784942	WBYFDFJWHRNSJD-FAHIQLIYSA-N
Q115785005	UXCXGTLNNWIBBM-UHFFFAOYSA-N
Q115785008	IDRSJGHHZXBATQ-WXRGLTTHSA-N
Q115785012	DJSISFGPUUYILV-WXRGLTTHSA-N
Q115785015	FVWCQCCVDNGNPX-NJGQXECBSA-N
Q115785037	LLPRITPJQPQXIR-VUUMQSBJSA-N
Q115785038	VNLOLXSJMINBIS-CDCSFBOOSA-N
Q115785042	PEFASEPMJYRQBW-IULLQCGOSA-N
Q115785050	YNMFDPCLPIMRFD-WRBAWAMSSA-N
Q115785056	IVTMALDHFAHOGL-TUQJMALTSA-N
Q115785058	MNMUPTOJETVJCW-YODDYUAISA-N
Q115785066	JUIYKRQGQJORHH-ZIIOQTAFSA-N
Q115785070	JMFWYRWPJVEZPV-ZAJOGIASSA-N
Q115785071	XEXCLTHHXIWUHO-CFXCJESKSA-N
Q115785075	YXXQWPJFPHUNRF-QOJNRYCSSA-N
Q115785077	NBQPHANHNTWDML-RDPZDGQCSA-N
Q115785082	XKRPUONZPKPBNX-AZOQVFTJSA-N
Q115785085	XBGYTZHKGMCEGE-YVDOHKSMSA-N
Q115785089	AXXQQGBQPBSIBA-ASWFUBJRSA-N
Q115785090	HJERPRJJPPOOLZ-QJNFLPLASA-N
Q115785100	YTMOEUVNNYCFEO-AYZCFKLVSA-O
Q115785108	JRZVFIAPPQXNCE-BPFYGHILSA-O
Q115785109	ABORBIAHEXNJQM-AIEFFGJPSA-O
Q115785122	YJBRZIKOXLESQY-PWXSKXFRSA-O
Q115785125	DGGWHUCHBQNSNH-PSDBAGBSSA-O
Q115785129	VMMVZVPAYFZNBM-SEXNULBASA-N
Q115785132	CICMVLOHBZPXIT-ZNYHDOEXSA-N
Q115785135	GRSZFWQUAKGDAV-WDHZHIADSA-N
Q115785137	ITPLBNCCPZSWEU-NBOAAFDKSA-N
Q115785140	BTCAEOLDEYPGGE-JBICZBEYSA-N
Q115785141	JSVPGVHCEQDJCZ-PHQFZZKCSA-N
Q115785162	TWNIBLMWSKIRAT-FDROIEKHSA-N
Q115785164	OBETXYAYXDNJHR-ZETCQYMHSA-N
Q115785165	QFMKUXGVPTZSND-UHFFFAOYSA-N
Q115785174	WPHVOXMMNSLJSF-MSEICUJVSA-N
Q115785175	VYRAJOITMBSQSE-HDNYONAXSA-N
Q115785186	PYXAHGLTSLDDJH-RNOPWOAKSA-N
Q115785191	UNTKZTADYPALEE-ZTMQWZOXSA-N
Q115785192	RMCRQBAILCLJGU-CTJXRCFCSA-N
Q115785195	QSLBWGKNSBMTJL-NLZCMNGQSA-N
Q115785204	JLLGHNNPZQRLOQ-CSMLZNMNSA-N
Q115785205	QCSHVGOWSCMHAW-ZCFATJFRSA-N
Q115785206	OSRRTXLTZZRDIP-FHHYWILJSA-N
Q115785216	JALFIMSSLUCMAC-BTLLPQHJSA-N
Q115785218	IGVSILAHFPDUTO-GTCIQPJUSA-N
Q115785222	GRMSSCUVELGNHC-UHFFFAOYSA-N
Q115785226	IPDALSAPRYQWGQ-IUODEOHRSA-N
Q115785228	KQLMUJOKBRYEHR-LJQANCHMSA-N
Q115785230	OTJMSWBNEUNNEW-AWEZNQCLSA-N
Q115785257	DTGKSKDOIYIVQL-KHQFGBGNSA-N
Q115785263	YFHFHLSMISYUAQ-CABCVRRESA-N
Q115785268	UFBLHNHPWIIREM-WCVFXIOZSA-N
Q115785273	RRVUWHZNUXPZBP-NSHDSACASA-N
Q115785275	UWVOJXMWYPOIQV-NSHDSACASA-N
Q115785277	WOULTTPZJDSDEI-GBJTYRQASA-N
Q115785282	FWOAAAUYUVVHOD-RSASVQPASA-N
Q115785298	KEABDZDFSMGRQX-LGHIDRSRSA-N
Q115785317	RIWDYFGEQJAMKI-SFHVURJKSA-N
Q115785330	ALGFXATVXBZEBW-NHDPSOOVSA-N
Q115785332	ACFIXJIJDZMPPO-VOLSVOPZSA-N
Q115785351	COEMCKKNQLRLNH-RBSFLKMASA-N
Q115785372	DWNPMJOWAWGIMM-GVKWNSGLSA-N
Q115785381	WCEIQUQVIOGRBF-NMAMFNKQSA-N
Q115785386	WHMSWWROVUQISG-DXUDUQDWSA-N
Q115785387	IJGMVUXEZUEDJR-BLTAXRJOSA-N
Q115785400	IZVFFXVYBHFIHY-HBWRCNOOSA-N
Q115785407	QYUHNJGHFHGKPS-CBJZORFDSA-N
Q115785415	RBHZJMPNNPIYCI-OBJOEFQTSA-N
Q115785416	VTIPIBIDDZPDAV-WUHRBBMRSA-N
Q115785432	VOLMSPGWNYJHQQ-BYPYZUCNSA-N
Q115785452	VQDRNZFRMGXNDG-XVCNORKCSA-N
Q115785470	FTUHDNOGLPOCNN-MGZJJNBESA-N
Q115785478	XWHLRGYHAKFVSN-NIYSFEGRSA-N
Q115785479	SORUXVRKWOHYEO-PGKQBKORSA-N
Q115785481	UPVPJQNTGLTBPC-HSFUOYFLSA-N
Q115785482	VIWQCBZFJFSCLC-DIDYQGKTSA-N
Q115785492	LPXOPRGPLUWGKB-MBIARJLFSA-N
Q115785505	ITTPZDMHCNGAGQ-IRXDYDNUSA-N
Q115785551	JWQKMEKSFPNAIB-JTQLQIEISA-N
Q115785573	WOKHREABHMWBBE-CNZAUHOSSA-N
Q115785576	ZSRVBNXAPSQDFY-PLJUSGQGSA-N
Q115785577	DYENWMUXSKPFLC-GCFMSDFCSA-N
Q115785607	JOCIRBSYAYKMEF-NJVNPNENSA-N
Q115785611	CDOYUNMEWKKPNW-CWTMMYFOSA-N
Q115785612	ZJHORUWDAUIHTD-SXZASWAZSA-N
Q115791823	WZUSLISJDHJYHZ-UHFFFAOYSA-N
Q115804797	NJLGSHIGTKGJLG-UHFFFAOYSA-N
Q115869860	IGOFLAWWDQNRCV-UHFFFAOYSA-N
Q115869956	BMVIIZAOKBSWDS-UHFFFAOYSA-N
Q115926419	RVSSLHFYCSUAHY-QXMJNOOVSA-N
Q115930737	GTQTUABHRCWVLL-UHFFFAOYSA-N
Q115930789	XTOYXKSKSDVOOD-ACUHIMHNSA-N
Q115930790	XTOYXKSKSDVOOD-CISKFWAASA-N
Q115930792	XMIWQNUYRMSNDU-KEUMZJLDSA-N
Q115930974	AWWCEQOCFFQUKS-FJWDNACWSA-N
Q115930975	CICRNRSOXWLCAD-PEAQKWCRSA-N
Q115930976	CICRNRSOXWLCAD-YRQNTWANSA-N
Q115931388	FPMFSFWYWZLDKP-DBVSHIMFSA-N
Q115931390	YEJYLHKQOBOSCP-ISLYRVAYSA-N
Q115933604	JSOSWRYHPGIWGT-UHFFFAOYSA-N
Q115941997	SQHAOMTXRPESIP-PLRJNAJWSA-N
Q115946378	MJCVLDFXXAHQOH-FUVJIEAMSA-N
Q115946381	RTCBNGGFSNXOIY-MFLFJZGRSA-N
Q115946388	OKKMHZTVGJIQAP-BPOVIMKDSA-N
Q115946396	HHJUWIANJFBDHT-RQOXPLONSA-N
Q115946404	QEOHJVNDENHRCH-VOTSOKGWSA-N
Q115946407	OVSYWZXDPOVKQU-AWEZNQCLSA-N
Q115946416	RULSWEULPANCDV-QMADOWBRSA-N
Q115946419	RDWUNORUTVEHJF-ATZCPNFKSA-N
Q115946420	MPYYVGIJHREDBO-SLEUVZQESA-N
Q115946421	VUEGXHXUMOZKKN-UHFFFAOYSA-N
Q115946430	GUSVHVVOABZHAH-HDIKOTLISA-N
Q115946431	HYCLWDHZALFLJV-UHFFFAOYSA-N
Q115946435	PYUYJSFTZPYHDW-UHFFFAOYSA-N
Q115946436	USNPULRDBDVJAO-CJMRGEILSA-O
Q115946444	RKAYMOSEFYVEJU-DRFAHUGVSA-N
Q115946451	YONHOSLUBQJXPR-GZBFAFLISA-N
Q115946452	PPTXKCYXNDLKTQ-FQKPHLNHSA-N
Q115946453	YIWKBKBHKZAWQV-YUTCNCBUSA-N
Q115946454	RNDFUOKDULDZPR-MELADBBJSA-N
Q115946455	IRDFGGRWKUKANK-KBUPBQIOSA-N
Q115946456	WJUQDFFDADGYQZ-RHSMWYFYSA-N
Q115946458	IBZYPBGPOGJMBF-CFAJVAMVSA-N
Q115946462	LDWAIHWGMRVEFR-DJLDLDEBSA-N
Q115946466	COZQDHBXGXLQCI-GSPJEIBNSA-N
Q115946469	GFDDIOAHWBGUTE-UJIBJULZSA-N
Q115946470	GFDDIOAHWBGUTE-DBDGOMGQSA-N
Q115946471	QKDFXHKCEBRIBS-FWHCNOIFSA-N
Q115946472	OXLUYYPDQWGUIX-XFPTYDCXSA-N
Q115946477	UFNDONGOJKNAES-SDLRQTJVSA-N
Q115946478	IRILMCCKFANGJQ-SDBHATRESA-N
Q115946481	FWKBQEOWCQGFLL-WLUGYBHMSA-N
Q115946482	PHZOWSSBXJXFOR-HOQQJHGQSA-N
Q115946484	LPEYLSKLVYWOEQ-UHFFFAOYSA-N
Q115946485	BPCSUHDJRATFGO-UJBZIIBZSA-N
Q115946487	ANXMACFSCOXGQA-FDSFMJNFSA-N
Q115946488	UOJAEODBOCLNBU-FQQIGUKFSA-N
Q115946490	OUIUOTNTXCBQGM-GXKMNUNHSA-O
Q115946491	CSWCMIODPBATKN-NELIWPSSSA-O
Q115946492	HMCPMOZTKYWJSJ-WSPNGJBMSA-N
Q115946493	GOHCSRAOXZPHFO-RIRXYMIISA-N
Q115946495	ZBIKAJHAGKBFKR-UHFFFAOYSA-N
Q115946498	JPXZQMKKFWMMGK-UHFFFAOYSA-N
Q115946500	FFWCSZRQNSLOCG-UHFFFAOYSA-N
Q115946501	JRLGPAXAGHMNOL-UHFFFAOYSA-N
Q115946502	SOKGDOREHWFRJQ-UHFFFAOYSA-N
